timestep c_coords
10000 79
15000 103
20000 133
25000 161
30000 175
35000 183
40000 197
45000 207
50000 216
55000 221
60000 229
65000 236
70000 240
75000 244
80000 247
85000 251
90000 251
95000 258
100000 259
105000 260
110000 263
115000 263
120000 263
125000 265
130000 269
135000 275
140000 277
145000 280
150000 281
155000 282
160000 284
165000 286
170000 287
175000 288
180000 287
185000 285
190000 284
195000 284
200000 287
205000 287
210000 288
215000 289
220000 292
225000 291
230000 298
235000 299
240000 300
245000 299
250000 303
255000 301
260000 301
265000 299
270000 299
275000 295
280000 297
285000 297
290000 299
295000 294
300000 294
305000 295
310000 293
315000 294
320000 292
325000 293
330000 293
335000 292
340000 293
345000 292
350000 294
355000 292
360000 292
365000 293
370000 293
375000 294
380000 293
385000 293
390000 290
395000 294
400000 294
405000 294
410000 292
415000 291
420000 292
425000 289
430000 291
435000 291
440000 291
445000 292
450000 290
455000 290
460000 293
465000 293
470000 294
475000 296
480000 297
485000 299
490000 299
495000 300
500000 296
505000 297
510000 296
515000 295
520000 295
525000 295
530000 296
535000 296
540000 296
545000 299
550000 299
555000 302
560000 301
565000 302
570000 302
575000 304
580000 305
585000 304
590000 305
595000 303
600000 305
605000 305
610000 305
615000 304
620000 304
625000 305
630000 304
635000 303
640000 303
645000 301
650000 302
655000 303
660000 302
665000 300
670000 303
675000 303
680000 302
685000 299
690000 300
695000 301
700000 304
705000 303
710000 303
715000 305
720000 307
725000 306
730000 307
735000 310
740000 312
745000 312
750000 308
755000 305
760000 304
765000 305
770000 304
775000 303
780000 304
785000 304
790000 306
795000 307
800000 306
805000 306
810000 305
815000 304
820000 305
825000 305
830000 303
835000 302
840000 302
845000 301
850000 300
855000 301
860000 300
865000 299
870000 298
875000 300
880000 300
885000 300
890000 300
895000 301
900000 300
905000 301
910000 300
915000 298
920000 299
925000 298
930000 297
935000 295
940000 299
945000 298
950000 298
955000 301
960000 302
965000 302
970000 302
975000 301
980000 298
985000 301
990000 300
995000 299
1000000 298
1005000 297
1010000 299
1015000 299
1020000 304
1025000 307
1030000 303
1035000 301
1040000 301
1045000 302
1050000 304
1055000 306
1060000 307
1065000 307
1070000 308
1075000 306
1080000 308
1085000 306
1090000 306
1095000 305
1100000 307
1105000 306
1110000 304
1115000 305
1120000 306
1125000 305
1130000 303
1135000 304
1140000 305
1145000 307
1150000 309
1155000 310
1160000 310
1165000 311
1170000 313
1175000 314
1180000 314
1185000 313
1190000 315
1195000 313
1200000 313
1205000 312
1210000 314
1215000 315
1220000 315
1225000 314
1230000 314
1235000 311
1240000 312
1245000 310
1250000 309
1255000 308
1260000 308
1265000 306
1270000 306
1275000 306
1280000 306
1285000 304
1290000 306
1295000 307
1300000 309
1305000 307
1310000 306
1315000 305
1320000 304
1325000 305
1330000 306
