timestep Temp E_pair E_mol TotEng
10000 143.3161 -1430.8236 1180.6949 2099.4607
15000 302.39554 -1329.3264 2392.2441 6020.5278
20000 301.74368 -1565.0005 2389.6141 5771.5369
25000 296.31373 -1839.8162 2426.5117 5444.5976
30000 301.76122 -1947.0907 2388.1266 5388.2467
35000 299.35068 -2017.4614 2387.6172 5277.8471
40000 300.61374 -2128.2494 2379.8315 5179.9807
45000 293.50895 -2226.8508 2313.7048 4898.7733
50000 296.10163 -2273.486 2347.6062 4928.5451
55000 303.56116 -2323.7446 2378.5627 5031.5379
60000 304.87073 -2418.3733 2306.4505 4886.2668
65000 300.79127 -2448.6113 2382.9929 4865.6906
70000 307.86561 -2475.1417 2389.529 4961.6764
75000 296.5667 -2516.5825 2367.5429 4713.0099
80000 306.93997 -2574.3577 2371.6424 4829.3983
85000 300.58277 -2620.9615 2378.4165 4685.3457
90000 302.38273 -2611.9388 2360.7721 4706.2335
95000 301.12072 -2675.2438 2351.3574 4612.8238
100000 300.62432 -2675.6654 2340.4323 4593.3389
105000 296.00239 -2689.9822 2318.4351 4481.2509
110000 292.73445 -2713.2668 2321.4443 4407.3994
115000 299.9932 -2705.5401 2354.0046 4566.6897
120000 298.71434 -2718.3252 2312.9687 4491.9024
125000 300.36983 -2725.1723 2302.1017 4501.3291
130000 301.49304 -2758.4771 2329.3985 4513.7355
135000 300.48854 -2811.5575 2324.7589 4439.5473
140000 302.53965 -2825.6359 2386.0337 4520.3707
145000 299.03493 -2878.0658 2390.0738 4414.5228
150000 301.79234 -2886.4663 2374.3783 4435.633
155000 303.18271 -2910.1517 2259.1668 4319.5304
160000 302.32453 -2897.2347 2359.0716 4418.283
165000 301.12018 -2964.847 2276.982 4248.8364
170000 305.17644 -2921.0929 2341.8067 4423.9152
175000 302.96087 -2916.2278 2320.2044 4370.8551
180000 301.60878 -2939.0282 2366.9108 4372.5942
185000 301.33099 -2878.3375 2300.6831 4362.5029
190000 300.94701 -2900.5122 2347.4779 4380.828
195000 299.7801 -2904.3689 2300.4901 4310.8526
