timestep c_coords
10000 26
15000 33
20000 36
25000 44
30000 50
35000 54
40000 66
45000 78
50000 95
55000 108
60000 124
65000 132
70000 145
75000 154
80000 165
85000 173
90000 177
95000 184
100000 189
105000 191
110000 195
115000 201
120000 208
125000 208
130000 213
135000 223
140000 230
145000 238
150000 243
155000 250
160000 254
165000 262
170000 270
175000 276
180000 279
185000 282
190000 288
195000 297
200000 301
205000 305
210000 310
215000 315
220000 320
225000 324
230000 329
235000 333
240000 335
245000 342
250000 348
255000 351
260000 354
265000 354
270000 357
275000 358
280000 361
285000 359
290000 360
295000 362
300000 365
305000 366
310000 367
315000 369
320000 369
325000 369
330000 371
335000 370
340000 372
345000 369
350000 372
355000 368
360000 366
365000 365
370000 367
375000 371
380000 371
385000 371
390000 370
395000 370
400000 369
405000 372
410000 375
415000 375
420000 373
425000 371
430000 367
435000 371
440000 374
445000 372
450000 375
455000 377
460000 372
465000 374
470000 371
475000 368
480000 369
485000 375
490000 371
495000 370
500000 371
505000 376
510000 377
515000 375
520000 377
525000 376
530000 377
535000 374
540000 374
545000 374
550000 371
555000 372
560000 371
565000 374
570000 374
575000 377
580000 374
585000 374
590000 373
595000 374
600000 373
605000 372
610000 375
615000 375
620000 378
625000 376
630000 376
635000 377
640000 377
645000 375
650000 377
655000 376
660000 379
665000 376
670000 373
675000 374
680000 369
685000 370
690000 371
695000 376
700000 372
705000 372
710000 378
715000 375
720000 376
725000 374
730000 373
735000 375
740000 373
745000 375
750000 377
755000 376
760000 372
765000 372
770000 373
775000 373
780000 371
785000 375
790000 375
795000 378
800000 378
805000 375
810000 374
815000 373
820000 374
825000 370
830000 372
835000 371
840000 372
845000 372
850000 372
855000 375
860000 372
865000 372
870000 374
875000 375
880000 376
885000 377
890000 377
895000 377
900000 375
905000 377
910000 375
915000 375
920000 374
925000 376
930000 376
935000 378
940000 378
945000 374
950000 372
955000 378
960000 378
965000 375
970000 377
975000 378
980000 379
985000 380
990000 374
995000 375
1000000 375
1005000 373
1010000 375
1015000 374
1020000 376
1025000 377
1030000 378
1035000 376
1040000 376
1045000 378
1050000 377
1055000 373
1060000 377
1065000 378
1070000 378
1075000 372
1080000 375
1085000 377
1090000 371
1095000 378
1100000 379
1105000 378
1110000 378
1115000 379
1120000 378
1125000 375
1130000 378
1135000 373
1140000 376
1145000 373
1150000 377
1155000 377
1160000 377
1165000 379
1170000 376
1175000 377
1180000 377
1185000 375
1190000 376
1195000 375
1200000 373
1205000 375
1210000 375
1215000 375
1220000 378
1225000 374
1230000 379
1235000 379
1240000 375
1245000 376
1250000 376
1255000 375
1260000 375
1265000 376
1270000 376
1275000 374
1280000 374
1285000 373
1290000 376
1295000 373
1300000 378
1305000 373
1310000 376
1315000 379
1320000 376
1325000 374
1330000 376
1335000 374
1340000 373
1345000 375
1350000 374
1355000 376
1360000 377
1365000 376
1370000 380
1375000 382
1380000 378
1385000 377
1390000 380
1395000 382
1400000 379
1405000 377
1410000 375
1415000 379
1420000 378
1425000 379
1430000 377
1435000 374
1440000 379
1445000 379
1450000 374
1455000 379
1460000 378
1465000 378
1470000 376
1475000 375
1480000 376
1485000 378
1490000 371
1495000 375
1500000 377
1505000 374
1510000 375
1515000 378
1520000 380
1525000 376
1530000 375
1535000 377
1540000 373
1545000 376
1550000 375
1555000 369
1560000 375
1565000 378
1570000 378
1575000 377
1580000 374
1585000 371
1590000 376
1595000 377
1600000 379
1605000 378
1610000 373
1615000 375
1620000 376
1625000 376
1630000 377
1635000 374
1640000 377
1645000 377
1650000 374
1655000 373
1660000 374
1665000 372
1670000 371
1675000 371
1680000 371
1685000 375
1690000 377
1695000 377
1700000 375
1705000 376
1710000 375
1715000 374
1720000 375
1725000 378
1730000 377
1735000 377
1740000 377
1745000 379
1750000 375
1755000 377
1760000 375
1765000 378
1770000 375
1775000 374
1780000 377
1785000 374
1790000 376
1795000 376
1800000 378
1805000 374
1810000 373
1815000 373
1820000 374
1825000 374
1830000 374
1835000 375
1840000 378
1845000 376
1850000 374
1855000 376
1860000 377
1865000 377
1870000 378
1875000 376
1880000 372
1885000 371
1890000 377
1895000 379
1900000 377
1905000 375
1910000 376
1915000 377
1920000 376
1925000 372
1930000 373
1935000 373
1940000 374
1945000 376
1950000 374
1955000 374
1960000 378
1965000 375
1970000 379
1975000 376
1980000 374
1985000 379
1990000 380
1995000 378
2000000 378
2005000 376
2010000 375
2015000 376
2020000 377
2025000 377
2030000 380
2035000 378
2040000 375
2045000 377
2050000 374
2055000 374
2060000 374
2065000 375
2070000 379
2075000 377
2080000 373
2085000 377
2090000 377
2095000 374
2100000 374
2105000 375
2110000 376
2115000 376
2120000 371
2125000 372
2130000 374
2135000 377
2140000 376
2145000 376
2150000 372
2155000 376
2160000 375
2165000 378
2170000 377
2175000 378
2180000 376
2185000 374
2190000 377
2195000 376
2200000 376
2205000 377
2210000 378
2215000 377
2220000 378
2225000 378
2230000 378
2235000 377
2240000 377
2245000 374
2250000 376
2255000 376
2260000 378
2265000 380
2270000 375
2275000 379
2280000 377
2285000 375
2290000 377
2295000 377
2300000 377
2305000 376
2310000 380
2315000 375
2320000 376
2325000 377
2330000 379
2335000 376
2340000 376
2345000 377
2350000 375
2355000 376
2360000 377
2365000 378
2370000 376
2375000 374
2380000 379
2385000 375
2390000 373
2395000 373
2400000 378
2405000 379
2410000 378
2415000 377
2420000 376
2425000 378
2430000 378
2435000 375
2440000 374
2445000 380
2450000 379
2455000 379
2460000 377
2465000 377
2470000 377
2475000 375
2480000 378
2485000 380
2490000 381
2495000 376
2500000 378
2505000 376
2510000 378
2515000 379
2520000 376
2525000 375
2530000 375
2535000 372
2540000 375
2545000 375
2550000 375
2555000 379
2560000 379
2565000 379
2570000 377
2575000 375
2580000 375
2585000 375
2590000 375
2595000 375
2600000 372
2605000 375
2610000 374
2615000 374
2620000 374
2625000 373
2630000 372
2635000 374
2640000 372
2645000 376
2650000 375
2655000 375
2660000 373
2665000 375
2670000 377
2675000 378
2680000 378
2685000 380
2690000 380
2695000 379
2700000 378
2705000 378
2710000 380
2715000 376
2720000 380
2725000 380
2730000 377
2735000 378
2740000 374
2745000 374
2750000 377
2755000 377
2760000 377
2765000 376
2770000 376
2775000 371
2780000 377
2785000 377
2790000 377
2795000 376
2800000 376
2805000 375
2810000 376
2815000 377
2820000 379
2825000 381
2830000 375
2835000 378
2840000 379
2845000 375
2850000 377
2855000 374
2860000 378
2865000 376
2870000 376
2875000 376
2880000 377
2885000 378
2890000 377
2895000 380
2900000 376
