timestep Temp E_pair E_mol TotEng Press
10000 140.87779 -629.04295 621.37352 1252.1203 -0.69707835
15000 294.19756 -669.27105 1283.0128 3244.5829 4.7080386
20000 304.41192 -755.79606 1282.978 3249.3643 8.8961933
25000 302.07326 -860.39388 1279.3762 3120.2513 7.5091164
30000 295.24262 -986.23294 1279.7343 2933.6879 18.495521
35000 300.3396 -1144.159 1267.5652 2809.1721 11.327621
40000 306.67499 -1234.5009 1260.1581 2768.0769 -3.0569196
45000 311.00196 -1268.4223 1237.2006 2749.8915 26.499656
50000 305.42448 -1361.9928 1305.6799 2674.9242 4.0344486
55000 298.28425 -1480.8861 1262.8703 2449.3703 -7.5511647
60000 297.48156 -1533.0282 1210.823 2338.003 -5.8472083
65000 307.18473 -1610.4793 1248.8149 2385.3136 22.963233
70000 302.2605 -1646.9017 1297.916 2353.9578 27.026472
75000 300.08662 -1708.2609 1277.0162 2252.2589 22.105194
80000 295.06923 -1806.9666 1289.9092 2121.5786 7.2535797
85000 303.27937 -1842.1007 1283.5008 2153.4546 9.1316508
90000 311.29635 -1874.6283 1204.2605 2113.378 10.359515
95000 302.65381 -1914.1836 1260.4731 2052.7501 -13.789387
100000 303.63803 -1932.8559 1203.1134 1985.5194 -4.927281
105000 301.27639 -1974.0854 1282.4106 2002.4683 -6.9628435
110000 306.71151 -1995.495 1259.6012 2006.8525 18.628197
115000 305.62782 -1984.2647 1250.2079 1998.9986 9.0668876
120000 302.68043 -2030.5162 1252.6539 1928.8362 24.290362
125000 291.39808 -2019.7154 1300.2137 1886.3052 12.0585
130000 304.30884 -2013.7896 1297.2154 2004.6864 6.3562153
135000 303.89187 -2061.8538 1275.2731 1930.9512 -8.1077535
140000 295.52696 -2059.3017 1272.0805 1855.508 16.756735
145000 301.48888 -2107.3441 1306.522 1895.2212 1.1475393
150000 302.46727 -2140.8687 1278.5063 1842.4301 -3.9114169
155000 292.92627 -2144.8275 1242.5559 1717.2011 -11.064097
160000 305.82236 -2180.1479 1223.615 1778.2622 11.739931
165000 299.45207 -2173.0198 1252.0814 1756.8908 0.56943857
170000 300.37604 -2188.2569 1209.2222 1707.0571 21.507944
175000 308.37831 -2208.942 1232.9088 1781.6183 19.408474
180000 294.43688 -2241.2492 1306.021 1697.753 -22.278357
185000 297.32006 -2275.2485 1254.0003 1637.5156 -0.25017624
190000 297.5219 -2245.3617 1249.2262 1664.4334 13.050201
195000 301.09021 -2263.2211 1272.4302 1701.6872 8.6977179
200000 303.3044 -2331.6322 1240.9572 1621.6033 7.2836293
205000 304.96745 -2335.7085 1236.0227 1627.4644 6.902841
210000 303.95037 -2373.009 1255.9598 1601.0057 -13.414519
215000 293.55514 -2358.0315 1219.5354 1486.6002 20.017156
220000 299.07806 -2371.131 1268.5208 1571.8745 8.6103163
225000 301.90783 -2352.9566 1242.8812 1589.7143 -6.2971721
230000 297.69626 -2403.5379 1225.9069 1484.497 -13.305965
235000 297.55786 -2386.7602 1255.3594 1529.4896 3.9376099
240000 299.96054 -2392.4998 1222.1159 1511.9923 -12.756732
245000 295.0385 -2448.3711 1189.0174 1379.0075 -1.1190864
250000 299.71572 -2468.3224 1277.338 1489.2025 15.325034
255000 299.62348 -2491.4506 1256.4577 1444.3692 2.9924733
260000 303.38444 -2475.9559 1196.0695 1433.1078 -4.0154136
265000 305.22636 -2474.5932 1261.1209 1515.9931 -3.603315
270000 298.98574 -2507.5077 1269.753 1435.9044 2.5955311
275000 308.55395 -2491.9583 1213.3147 1480.5785 6.7873204
280000 299.67159 -2496.0198 1249.6365 1433.409 11.903511
285000 302.67106 -2529.9169 1252.8578 1429.5558 4.7538612
290000 303.56474 -2507.8431 1234.4536 1441.2169 10.269531
295000 291.1551 -2517.0568 1244.573 1331.1504 5.0142169
300000 304.3577 -2523.6553 1245.4072 1443.4494 -5.6595854
305000 304.46285 -2546.2425 1306.0306 1482.4258 -13.052392
310000 300.7324 -2542.8021 1237.138 1383.6144 5.3443585
315000 299.8812 -2568.5816 1183.5484 1296.6336 21.756516
320000 286.45639 -2564.5757 1224.0505 1221.0909 10.59449
325000 296.89357 -2553.3917 1215.4102 1316.9686 -12.1333
330000 298.84362 -2567.3591 1263.779 1368.808 -17.162985
335000 293.71906 -2554.3177 1220.8012 1293.0457 5.7875628
340000 295.89762 -2557.1631 1221.566 1310.4466 3.3151631
345000 301.72775 -2577.5888 1245.193 1365.7835 -0.084670804
350000 303.47124 -2564.738 1238.4378 1387.4702 -2.7037312
355000 298.13088 -2546.3419 1244.9932 1364.6659 13.103724
360000 301.48199 -2550.7397 1229.8545 1375.0964 6.8570348
365000 304.32146 -2551.978 1272.0189 1441.4142 14.645425
370000 300.47781 -2545.5986 1307.5777 1448.981 -2.8161884
375000 291.62045 -2539.2699 1284.8779 1353.4035 9.7628963
380000 296.2518 -2571.1812 1239.4887 1317.5186 -3.5548247
385000 305.95251 -2565.7591 1258.6889 1428.8887 -8.9782003
390000 298.57308 -2579.7222 1236.2625 1326.5092 -8.0009811
395000 303.06514 -2561.9519 1152.9856 1301.1726 13.50575
400000 307.73207 -2577.1658 1199.9127 1374.6195 29.570378
405000 290.07504 -2558.4346 1217.6597 1253.2009 -3.7806103
410000 306.09791 -2517.3994 1235.6722 1455.532 6.948415
415000 299.39637 -2569.3796 1272.8242 1380.7758 8.8418733
420000 307.83746 -2571.9936 1257.8568 1438.6782 25.392359
425000 299.31418 -2564.7546 1240.3044 1352.1459 -2.6396454
430000 305.82518 -2554.9509 1229.6412 1409.5106 -6.5943274
435000 304.56675 -2538.9652 1249.6052 1434.2068 17.273923
440000 301.49724 -2590.6459 1227.7089 1333.1811 11.45112
445000 296.09389 -2565.1386 1193.5134 1276.1737 23.014402
450000 299.89643 -2578.0692 1261.1202 1364.8538 -6.6090362
455000 303.59185 -2570.8844 1219.0562 1363.0207 14.775009
460000 293.86174 -2539.6373 1232.2117 1320.4125 31.735857
465000 293.72925 -2575.6017 1208.5758 1259.6275 -14.560182
470000 302.25731 -2572.3421 1264.8183 1395.391 -11.471743
475000 306.63463 -2563.2072 1241.6007 1420.4523 18.683729
480000 305.06322 -2545.1922 1214.9385 1397.7528 10.857252
485000 297.88934 -2589.3255 1240.6371 1315.1662 14.31782
490000 301.08584 -2582.5173 1252.042 1361.9638 -15.308607
495000 298.75542 -2614.1748 1229.0325 1286.4571 2.6253773
500000 300.99235 -2588.109 1255.5374 1359.0315 27.439048
505000 298.63786 -2532.421 1206.4778 1344.605 5.7315607
510000 301.04983 -2553.6679 1311.1871 1449.6362 3.1564335
515000 294.63649 -2577.2213 1277.4964 1335.0414 -0.73669367
520000 298.99754 -2543.1491 1198.2062 1328.8217 10.124235
525000 305.66056 -2598.4154 1269.1273 1404.06 13.283979
530000 302.88934 -2592.981 1232.0519 1347.6376 24.568465
535000 301.94536 -2603.5621 1209.3421 1305.9053 2.692933
540000 300.63929 -2601.7996 1295.6888 1382.3351 5.2168861
545000 298.97622 -2571.9589 1287.4845 1389.0995 -13.458368
550000 298.18556 -2575.7892 1294.1624 1384.8767 -9.5299568
555000 305.12931 -2593.495 1270.651 1405.7535 -1.8743066
560000 293.17772 -2594.6645 1267.1366 1294.1934 -0.6909652
565000 300.97892 -2590.3912 1269.3953 1370.487 4.9851024
570000 300.77669 -2579.5675 1205.6422 1315.7492 4.279724
575000 303.67166 -2578.3216 1248.1353 1385.3764 -8.2846163
580000 298.737 -2609.7567 1191.056 1252.734 4.5617339
585000 293.9163 -2588.5418 1211.5033 1251.2875 4.56377
590000 299.46568 -2605.8639 1216.6751 1288.7621 8.6754188
595000 293.42982 -2582.9732 1210.5029 1251.5054 8.8253197
600000 293.27698 -2586.706 1230.0415 1265.9443 1.1333112
605000 298.0273 -2579.7606 1275.0278 1360.3555 33.88973
610000 299.76071 -2569.6437 1201.0175 1311.963 8.4721306
615000 299.68442 -2603.3909 1243.9549 1320.471 -13.244833
620000 296.33489 -2583.6017 1211.0983 1277.4508 5.7047094
