timestep Temp E_pair E_mol TotEng
10000 140.87779 -629.04295 621.37352 1252.1203
15000 294.19756 -669.27105 1283.0128 3244.5829
20000 304.41192 -755.79606 1282.978 3249.3643
25000 302.07326 -860.39388 1279.3762 3120.2513
30000 295.24262 -986.23294 1279.7343 2933.6879
35000 300.3396 -1144.159 1267.5652 2809.1721
40000 306.67499 -1234.5009 1260.1581 2768.0769
45000 311.00196 -1268.4223 1237.2006 2749.8915
50000 305.42448 -1361.9928 1305.6799 2674.9242
55000 298.28425 -1480.8861 1262.8703 2449.3703
60000 297.48156 -1533.0282 1210.823 2338.003
65000 307.18473 -1610.4793 1248.8149 2385.3136
70000 302.2605 -1646.9017 1297.916 2353.9578
75000 300.08662 -1708.2609 1277.0162 2252.2589
80000 295.06923 -1806.9666 1289.9092 2121.5786
85000 303.27937 -1842.1007 1283.5008 2153.4546
90000 311.29635 -1874.6283 1204.2605 2113.378
95000 302.65381 -1914.1836 1260.4731 2052.7501
100000 303.63803 -1932.8559 1203.1134 1985.5194
105000 301.27639 -1974.0854 1282.4106 2002.4683
110000 306.71151 -1995.495 1259.6012 2006.8525
115000 305.62782 -1984.2647 1250.2079 1998.9986
120000 302.68043 -2030.5162 1252.6539 1928.8362
125000 291.39808 -2019.7154 1300.2137 1886.3052
130000 304.30884 -2013.7896 1297.2154 2004.6864
135000 303.89187 -2061.8538 1275.2731 1930.9512
140000 295.52696 -2059.3017 1272.0805 1855.508
145000 301.48888 -2107.3441 1306.522 1895.2212
150000 302.46727 -2140.8687 1278.5063 1842.4301
155000 292.92627 -2144.8275 1242.5559 1717.2011
160000 305.82236 -2180.1479 1223.615 1778.2622
165000 299.45207 -2173.0198 1252.0814 1756.8908
170000 300.37604 -2188.2569 1209.2222 1707.0571
175000 308.37831 -2208.942 1232.9088 1781.6183
180000 294.43688 -2241.2492 1306.021 1697.753
185000 297.32006 -2275.2485 1254.0003 1637.5156
190000 297.5219 -2245.3617 1249.2262 1664.4334
195000 301.09021 -2263.2211 1272.4302 1701.6872
200000 303.3044 -2331.6322 1240.9572 1621.6033
205000 304.96745 -2335.7085 1236.0227 1627.4644
210000 303.95037 -2373.009 1255.9598 1601.0057
215000 293.55514 -2358.0315 1219.5354 1486.6002
220000 299.07806 -2371.131 1268.5208 1571.8745
225000 301.90783 -2352.9566 1242.8812 1589.7143
230000 297.69626 -2403.5379 1225.9069 1484.497
235000 297.55786 -2386.7602 1255.3594 1529.4896
240000 299.96054 -2392.4998 1222.1159 1511.9923
245000 295.0385 -2448.3711 1189.0174 1379.0075
250000 299.71572 -2468.3224 1277.338 1489.2025
255000 299.62348 -2491.4506 1256.4577 1444.3692
260000 303.38444 -2475.9559 1196.0695 1433.1078
265000 305.22636 -2474.5932 1261.1209 1515.9931
270000 298.98574 -2507.5077 1269.753 1435.9044
275000 308.55395 -2491.9583 1213.3147 1480.5785
280000 299.67159 -2496.0198 1249.6365 1433.409
285000 302.67106 -2529.9169 1252.8578 1429.5558
290000 303.56474 -2507.8431 1234.4536 1441.2169
295000 291.1551 -2517.0568 1244.573 1331.1504
300000 304.3577 -2523.6553 1245.4072 1443.4494
305000 304.46285 -2546.2425 1306.0306 1482.4258
310000 300.7324 -2542.8021 1237.138 1383.6144
315000 299.8812 -2568.5816 1183.5484 1296.6336
320000 286.45639 -2564.5757 1224.0505 1221.0909
325000 296.89357 -2553.3917 1215.4102 1316.9686
330000 298.84362 -2567.3591 1263.779 1368.808
335000 293.71906 -2554.3177 1220.8012 1293.0457
340000 295.89762 -2557.1631 1221.566 1310.4466
345000 301.72775 -2577.5888 1245.193 1365.7835
350000 303.47124 -2564.738 1238.4378 1387.4702
