timestep Temp E_pair E_mol TotEng Press
10000 143.78383 -449.93319 636.59019 1472.4339 1.8955038
15000 301.46648 -593.09482 1254.9046 3357.6527 3.0474623
20000 293.43904 -708.90119 1250.074 3165.231 3.5364031
25000 296.29203 -794.99421 1263.9598 3118.5364 4.879933
30000 302.84478 -887.08385 1292.0089 3113.0933 19.694458
35000 301.65366 -961.33325 1275.5743 3011.7578 3.1554461
40000 301.17625 -994.20838 1255.223 2954.2622 17.292902
45000 299.13764 -1106.2115 1263.4716 2832.2776 -1.5572419
50000 303.36977 -1162.3593 1247.3652 2797.8688 14.666035
55000 301.59739 -1184.728 1261.3368 2773.6223 1.1001882
60000 296.96353 -1247.4391 1306.2457 2714.3823 1.772514
65000 306.82152 -1297.7275 1299.9241 2745.9267 9.256418
70000 301.96941 -1361.5301 1340.7439 2679.5542 4.2770474
75000 302.93061 -1389.6689 1268.412 2587.679 16.435909
80000 301.72159 -1417.231 1251.2025 2532.0957 12.865251
85000 292.03128 -1444.6294 1267.4612 2434.3011 7.3498847
90000 299.0665 -1437.3922 1218.2288 2455.2179 -7.7793062
95000 298.7079 -1475.5134 1285.7421 2481.4033 -3.3408739
100000 305.10111 -1474.1252 1212.5601 2466.7803 -0.97996899
105000 300.10302 -1483.1756 1314.6831 2515.1579 6.3242189
110000 293.0406 -1493.6757 1256.572 2383.3914 3.1327913
115000 297.95213 -1491.8588 1296.8367 2469.394 3.1898427
120000 304.04144 -1511.2095 1295.4282 2503.088 7.7208505
125000 298.76252 -1547.2592 1278.3909 2402.7947 -17.216295
130000 307.05956 -1558.1158 1247.5987 2435.3415 6.3751195
135000 302.25241 -1568.891 1197.1325 2331.1126 17.589434
140000 297.56847 -1584.4087 1218.7693 2295.3458 3.2454241
145000 301.32629 -1614.6957 1289.3676 2369.2612 25.969313
150000 298.95753 -1621.7812 1284.6041 2336.2298 -6.7842643
155000 297.11069 -1657.4009 1274.1494 2273.6401 12.040296
160000 300.58164 -1653.0948 1251.5486 2286.3841 10.643196
165000 299.83361 -1650.0637 1225.5358 2256.7132 14.273125
170000 297.65409 -1666.0293 1230.5494 2226.271 7.8023383
175000 298.22346 -1645.8498 1217.9013 2238.8939 -0.8278103
180000 303.9973 -1662.7437 1260.3071 2316.0381 3.4959525
185000 296.68173 -1699.9536 1293.2243 2246.3263 -5.3730928
190000 298.35822 -1713.1437 1287.2517 2242.1556 1.3921959
195000 298.52454 -1730.9469 1283.1746 2221.7626 -1.7739835
200000 294.77893 -1736.8601 1237.9483 2137.1283 38.802683
205000 307.25577 -1785.6993 1250.8434 2212.7573 15.110277
210000 300.06468 -1781.0635 1275.8373 2178.0813 -10.678682
215000 303.52761 -1793.3394 1281.2384 2202.1734 5.8581694
220000 301.64849 -1788.43 1262.2966 2171.3371 20.283537
225000 294.65502 -1812.8917 1248.9193 2070.9596 3.7561985
230000 294.796 -1814.7336 1238.3705 2059.8296 13.285467
235000 303.63626 -1842.2965 1245.1879 2118.1375 22.427484
240000 299.96985 -1860.1165 1255.2813 2077.6243 16.90735
245000 290.90183 -1854.7265 1277.3424 2023.9852 7.905936
250000 305.93338 -1856.5608 1256.4601 2135.6872 27.916983
255000 290.2247 -1872.7066 1297.4976 2020.1051 -9.9736822
260000 300.64625 -1878.9271 1211.9963 2021.5773 2.4429474
265000 302.25187 -1842.0689 1201.4728 2062.2701 16.963233
270000 303.27754 -1855.8496 1277.9054 2134.094 -6.3863423
275000 291.51995 -1871.7779 1257.6017 1992.7206 0.47730959
280000 300.94585 -1869.2127 1248.2327 2070.2072 21.858823
285000 303.93625 -1872.6555 1231.4723 2076.7456 12.701189
290000 295.42711 -1859.1199 1235.7697 2018.4861 12.250898
295000 295.24041 -1879.9254 1308.6461 2068.8875 -18.066704
300000 312.43286 -1879.883 1268.7895 2182.8155 15.304923
305000 294.71866 -1890.3946 1213.4683 1958.5748 0.60709023
310000 305.2695 -1886.452 1283.2975 2126.6967 3.9442207
315000 298.36708 -1899.0575 1224.531 1993.6002 38.403247
320000 307.98267 -1887.8368 1265.4868 2131.7635 0.52892875
325000 297.34434 -1892.4423 1244.7078 2011.2465 -14.761212
330000 298.78432 -1883.7303 1222.7939 2010.9216 -5.8327647
335000 303.8757 -1892.2628 1235.7348 2060.8593 -7.8716619
340000 299.66493 -1891.0327 1242.2198 2030.9198 -3.5864552
345000 302.10164 -1897.7548 1235.8302 2039.5982 7.9523957
350000 300.13542 -1915.122 1290.8485 2059.6665 -0.9756448
355000 303.98222 -1902.2389 1293.8239 2109.9248 14.89474
360000 309.54026 -1915.4488 1241.607 2094.2005 5.5007775
365000 298.66563 -1903.8264 1216.0776 1983.0478 -13.035929
370000 302.14633 -1915.8864 1287.7302 2073.7662 9.2182479
375000 295.93883 -1944.577 1232.854 1934.6893 12.019633
380000 302.85456 -1912.0954 1284.7496 2080.91 10.859225
385000 307.44001 -1937.9601 1172.7822 1984.0829 3.5661522
390000 300.98919 -1955.1598 1246.2427 1982.6577 -12.750666
395000 305.74607 -1938.2779 1253.0056 2048.8406 8.904994
400000 305.64402 -1943.1771 1225.9281 2015.9513 16.193062
405000 294.47874 -1956.0189 1261.8155 1939.1522 -12.97298
410000 300.50835 -1930.1918 1251.3819 2008.4651 6.361293
415000 290.48644 -1928.4422 1261.7196 1930.9321 -23.766933
420000 300.66313 -1937.9383 1240.6442 1991.3649 -2.1023308
425000 307.77469 -1948.0074 1207.6439 2011.8902 2.5207839
430000 300.25813 -1959.0492 1265.4805 1991.4687 4.908504
435000 303.32377 -1946.454 1282.3131 2048.3108 9.8257968
440000 313.19754 -1957.4639 1205.126 2048.4091 -1.0293022
445000 304.79261 -1937.0292 1223.0706 2011.6281 26.517175
450000 300.26263 -1982.1673 1226.1128 1929.0231 19.003617
455000 299.56068 -1960.7928 1270.0097 1988.0174 -17.901123
460000 308.97287 -1986.9866 1278.8196 2054.8013 9.3311074
465000 299.06501 -1954.9648 1284.8855 2004.2887 15.169909
470000 301.15939 -1949.014 1236.7336 1980.8165 7.1799498
475000 305.47442 -1938.5616 1250.2625 2043.3845 -3.5338562
480000 304.11506 -1986.2862 1231.1404 1964.3818 -8.1573694
485000 304.12379 -1990.372 1232.6385 1961.8722 3.1609658
490000 304.39638 -2000.7523 1201.6021 1922.8932 35.573184
495000 291.5099 -1997.9791 1244.0493 1852.8772 3.4915892
500000 304.46762 -1996.9818 1235.3125 1961.0111 16.337574
505000 300.69137 -1997.543 1252.9745 1944.3432 -11.079751
510000 295.82179 -2008.7062 1225.7379 1862.3974 34.559602
515000 291.8535 -2015.9173 1236.7305 1830.6927 12.958507
520000 299.81994 -2013.9135 1291.4017 1958.6071 -5.4173245
525000 297.72864 -2007.822 1317.0682 1971.6639 -1.4983206
530000 298.16533 -2027.924 1253.1556 1891.5542 13.803561
535000 298.29531 -2030.8124 1252.7919 1889.4645 -8.3443642
540000 302.37676 -2027.5891 1215.3101 1891.704 0.65324641
545000 298.61345 -2028.8176 1233.3978 1874.9102 -28.616908
550000 304.28105 -2024.4237 1279.5239 1976.1122 2.5901575
555000 304.54066 -2020.1644 1248.0009 1951.1701 3.790205
560000 301.2972 -2022.9172 1223.1965 1894.6085 -5.795295
565000 300.39976 -2010.2036 1262.3838 1938.4841 -1.3958282
570000 298.94242 -2027.212 1240.7086 1886.7683 -16.392726
575000 292.48868 -2023.1779 1257.8519 1850.2336 2.926446
580000 302.50257 -2004.2444 1256.8848 1957.7485 17.001271
585000 304.88882 -2027.8572 1224.0209 1922.6106 -3.8770586
590000 303.07254 -2024.2198 1273.275 1959.2602 7.9151305
595000 300.33014 -2018.202 1263.6832 1931.1625 28.930515
600000 298.47398 -2034.2671 1233.514 1868.3296 -2.7949492
605000 295.29459 -2034.8751 1216.1152 1821.8913 10.005243
610000 301.19976 -2043.358 1294.2857 1944.3856 10.545318
615000 300.28928 -2018.3735 1243.945 1910.8875 6.231614
620000 302.02279 -2063.1276 1233.5971 1871.2871 -0.95759785
625000 300.60203 -2034.665 1256.7565 1910.2041 -8.4888005
630000 301.88151 -2049.5442 1255.3769 1905.387 17.293122
635000 292.12777 -2050.3015 1272.3956 1834.4263 14.262244
640000 297.95191 -2063.3932 1191.1303 1792.1514 0.92808267
645000 298.51363 -2076.9877 1240.2858 1832.7353 21.169449
650000 304.35921 -2048.3139 1235.4817 1908.8788 -7.6246616
655000 294.90798 -2093.2879 1234.357 1778.2631 -16.501243
660000 308.7761 -2074.9806 1280.2747 1966.5028 -12.243103
665000 295.28893 -2090.5742 1277.9717 1827.9981 -11.618952
670000 304.67028 -2098.1654 1186.2397 1812.567 2.4685414
675000 302.46959 -2083.0018 1275.8695 1897.6809 -9.9579293
680000 298.6486 -2099.9676 1182.4838 1753.1604 -6.5423737
685000 308.04211 -2077.7884 1239.1878 1916.0444 -7.7602566
690000 297.26133 -2063.2498 1241.1206 1836.1095 3.3034204
695000 304.31849 -2093.0405 1262.329 1890.6354 23.303419
700000 308.27418 -2069.7567 1227.6211 1914.5848 -10.654626
705000 296.92037 -2060.021 1217.4 1812.5686 10.461903
710000 303.63298 -2077.8477 1267.2014 1904.5704 0.98575762
715000 294.64627 -2064.95 1247.5432 1817.4469 -0.75036808
720000 311.18972 -2065.3893 1226.7979 1944.2009 -4.627211
725000 303.86051 -2053.0635 1223.8346 1888.0224 8.5843948
730000 296.07838 -2043.3985 1232.4437 1836.7054 31.082877
735000 294.91095 -2039.3444 1262.166 1860.0422 -10.340212
740000 305.57172 -2035.5883 1218.6272 1915.5926 13.765758
745000 305.88423 -2041.0691 1228.2655 1922.5448 18.662804
750000 303.03675 -2041.4654 1214.3569 1882.7765 -3.0329503
755000 300.79097 -2042.7618 1251.1961 1898.2365 5.2672192
760000 304.49818 -2015.9846 1220.9947 1927.9638 3.2130939
765000 297.42644 -2042.4403 1251.3217 1868.5966 -3.9042957
770000 290.77345 -2008.2771 1224.5709 1816.515 12.735604
775000 295.73269 -2043.2463 1275.8369 1877.1596 13.441274
780000 296.95768 -2051.5656 1213.3204 1817.2781 -1.066462
785000 295.48056 -2055.2421 1189.0005 1776.0727 17.723681
790000 301.5709 -2067.8808 1264.0213 1892.9172 -22.416191
795000 301.16678 -2067.1763 1263.6296 1889.6161 16.281336
800000 298.1684 -2049.3503 1252.4778 1869.4775 -2.0142931
805000 303.02654 -2085.8052 1229.1512 1853.1396 7.7975225
810000 298.28057 -2088.5241 1222.1348 1800.9639 7.5960678
815000 303.10257 -2091.7533 1255.0416 1873.7618 -8.7411439
820000 306.76024 -2095.7055 1257.0036 1904.4801 8.8102078
825000 299.44132 -2107.5996 1226.0146 1796.1481 12.596537
830000 298.92609 -2086.8461 1292.0102 1878.2899 21.925657
835000 301.88474 -2101.0378 1224.1383 1822.6837 13.007329
840000 306.49081 -2110.3388 1259.8225 1890.2564 -0.35511334
845000 304.02973 -2105.0029 1219.2841 1833.0458 -0.51301519
850000 302.40649 -2124.2911 1232.8235 1812.7813 9.7680152
855000 304.2541 -2118.7031 1216.5406 1818.6085 -0.29291787
860000 298.51643 -2100.662 1244.8527 1813.653 4.9778331
865000 295.8575 -2124.8586 1286.6147 1807.4412 10.400015
870000 295.5843 -2113.3653 1195.7331 1725.6098 1.7663672
875000 300.97618 -2115.0747 1219.8126 1796.1963 12.727016
880000 299.60926 -2123.7805 1243.115 1798.5694 5.6013404
885000 306.68594 -2135.6249 1245.8943 1852.7869 11.703451
890000 304.05323 -2116.057 1248.9791 1851.8968 23.990809
895000 299.00654 -2118.6007 1219.4813 1774.7257 7.8581436
900000 296.48637 -2119.9202 1212.9284 1744.3168 -4.8286823
905000 299.22378 -2124.0905 1192.4067 1744.1039 30.540482
910000 300.41343 -2111.3287 1250.6508 1825.7482 4.8096849
915000 298.77596 -2108.6456 1289.0322 1852.1698 2.6092778
920000 306.05091 -2097.7465 1279.8881 1918.9805 10.628077
925000 310.97705 -2110.3947 1189.8367 1860.3325 -16.645937
930000 295.74917 -2125.1476 1181.893 1701.4617 0.70327447
935000 309.4717 -2104.684 1232.0966 1894.8416 10.404293
940000 298.18762 -2108.8584 1239.2959 1796.9594 -1.9364012
945000 299.02083 -2095.7189 1228.3276 1806.5816 12.493249
950000 293.45488 -2098.7181 1255.1471 1780.6288 1.2834557
955000 298.45814 -2116.7702 1280.6887 1832.8596 -5.3527303
960000 297.74442 -2122.1709 1252.59 1792.9778 -22.822184
965000 299.52541 -2110.8417 1204.8033 1772.4467 -5.7810887
970000 306.14087 -2092.0768 1232.9717 1878.5382 7.8197477
975000 300.91298 -2133.3954 1276.1937 1833.6916 3.1762014
980000 298.02393 -2127.85 1201.9924 1739.2005 22.968263
985000 301.56183 -2134.3612 1230.8952 1793.2296 -0.42985902
990000 294.83676 -2114.693 1268.7383 1790.6024 -9.3314024
995000 301.66149 -2106.4245 1238.8636 1830.026 9.7927303
1000000 305.59072 -2116.1128 1249.7985 1866.4093 -3.380801
1005000 299.82345 -2119.5767 1266.0148 1827.5884 -2.6052583
1010000 295.65331 -2145.1178 1221.4977 1720.2389 9.870368
1015000 295.95095 -2126.7986 1248.5217 1768.2438 10.89123
1020000 305.01831 -2123.2573 1223.0814 1827.4291 10.364804
1025000 298.67825 -2120.0167 1218.8069 1769.6996 -8.2992458
1030000 293.32179 -2131.2881 1318.1514 1809.8729 -10.549903
1035000 299.11903 -2149.1804 1255.2249 1780.8955 10.654145
1040000 300.9433 -2161.2753 1197.8377 1727.7268 13.331024
1045000 302.93732 -2156.1201 1228.5236 1781.3994 17.99823
1050000 303.11108 -2134.3126 1222.375 1798.6121 -0.10060478
1055000 301.33137 -2154.7314 1242.6821 1782.5855 3.643245
1060000 294.42779 -2148.9221 1182.4608 1666.4387 -3.9612553
1065000 296.38087 -2162.3132 1231.352 1719.404 17.45359
1070000 295.38091 -2181.3255 1246.6563 1706.7539 19.433319
1075000 292.86779 -2174.1039 1237.5776 1682.4234 -10.097658
1080000 295.94208 -2189.8044 1266.8937 1723.5307 -3.5215786
1085000 300.84984 -2155.0033 1221.218 1756.5433 4.0158192
1090000 304.23165 -2160.2015 1262.2015 1822.5703 5.9522218
1095000 295.54767 -2137.4886 1218.8161 1724.2419 19.205287
1100000 296.05132 -2139.7862 1208.6316 1716.2636 -13.028192
1105000 297.15932 -2128.6536 1266.4975 1795.1703 -0.58041564
1110000 303.50007 -2126.5627 1245.9497 1833.4152 9.6925559
1115000 299.29584 -2137.4042 1230.9909 1770.0188 13.413167
1120000 298.7426 -2114.7571 1246.4443 1803.172 8.3319654
1125000 300.46874 -2106.9563 1237.9493 1817.9137 26.234206
1130000 292.71128 -2118.2139 1205.6058 1704.9421 2.7619834
1135000 293.59957 -2113.7558 1229.1915 1740.9292 24.301491
1140000 302.10338 -2110.7061 1228.8166 1819.6489 10.043341
1145000 296.60741 -2104.8493 1227.8346 1775.3763 5.4448643
1150000 305.88216 -2130.9392 1244.1535 1848.5441 -27.533387
1155000 300.61495 -2105.1953 1232.8798 1815.9126 3.4263347
1160000 302.8872 -2120.8012 1221.6942 1809.4406 24.956006
1165000 302.70674 -2101.9731 1233.0084 1837.9692 15.559805
1170000 294.98479 -2115.1542 1203.733 1726.4597 17.122533
1175000 306.47461 -2129.0559 1226.08 1837.6518 2.4196649
1180000 297.83224 -2119.6645 1259.0126 1802.6921 14.105048
1185000 302.13996 -2116.5197 1238.1027 1823.4485 4.355834
1190000 300.28849 -2125.1459 1233.6066 1793.7696 7.1067455
1195000 295.43574 -2116.5948 1198.0495 1723.3682 18.048073
1200000 293.07255 -2096.6318 1253.1243 1777.2733 13.307591
1205000 299.38181 -2118.9652 1212.0509 1770.2866 -6.4800919
1210000 306.95341 -2106.6018 1246.1907 1884.4983 25.621841
1215000 303.87872 -2104.128 1234.2944 1847.5806 16.151061
1220000 297.73161 -2112.3667 1257.936 1808.0134 5.924855
1225000 296.89345 -2092.2463 1282.2203 1844.9229 2.1407312
1230000 305.36984 -2102.5654 1190.8639 1819.047 11.731903
1235000 299.4459 -2111.0037 1222.7672 1789.5375 16.430626
1240000 306.79075 -2086.0735 1211.205 1868.5863 -18.230881
1245000 306.1635 -2080.3278 1258.2903 1915.8081 17.069853
1250000 302.60005 -2131.0957 1262.0189 1836.903 17.999909
1255000 298.37287 -2084.401 1254.3828 1838.1604 -0.97722221
1260000 297.96057 -2091.6515 1288.784 1861.6241 14.865575
1265000 303.99626 -2103.0061 1207.9708 1823.43 2.4029271
1270000 298.18239 -2077.9285 1291.6354 1880.1822 -0.50004955
1275000 298.38327 -2072.7963 1266.9662 1862.4414 5.0638962
1280000 310.43988 -2061.6557 1235.0128 1949.4441 11.802746
1285000 304.45848 -2059.1442 1240.9885 1904.443 -8.4475329
1290000 298.05703 -2051.6113 1285.4812 1899.2241 -15.995954
1295000 299.94928 -2034.4023 1216.88 1864.7532 1.6524397
1300000 300.90318 -2072.0812 1262.7137 1881.4382 13.812368
1305000 301.1763 -2117.5879 1237.4736 1813.1337 -3.0675402
1310000 303.39906 -2111.6468 1227.7819 1829.26 18.649615
1315000 300.30022 -2120.3534 1233.2069 1798.2672 5.4015022
1320000 303.50666 -2087.7375 1220.5457 1846.8954 16.254968
1325000 304.70032 -2094.1634 1243.8886 1874.4865 9.3138391
1330000 297.89066 -2126.3648 1235.437 1772.9385 -27.155995
1335000 300.69748 -2122.9327 1215.2349 1781.2683 12.165863
1340000 302.85601 -2137.2025 1230.2704 1801.3367 11.034106
1345000 297.63876 -2136.3297 1231.0328 1756.3168 15.261729
1350000 296.00819 -2142.51 1249.2419 1753.7645 24.669306
1355000 300.5539 -2119.7785 1235.7151 1803.6189 -4.3723212
1360000 301.98935 -2145.1489 1230.246 1785.6157 -2.8138006
1365000 291.5994 -2146.7086 1264.1914 1725.0901 26.743281
1370000 294.44348 -2125.8604 1225.4795 1732.6594 9.5564578
1375000 304.56326 -2145.3119 1258.0913 1836.3151 0.83204587
1380000 296.4812 -2146.6869 1268.7747 1773.3503 14.0712
1385000 300.47262 -2105.8916 1246.6931 1827.7569 6.6658043
1390000 301.39434 -2127.1448 1211.7722 1779.8252 0.64403795
1395000 299.3729 -2121.4112 1206.4273 1762.1373 3.3952258
1400000 302.63886 -2120.1521 1208.6595 1794.8342 25.139391
1405000 302.88875 -2142.1306 1245.7482 1812.1791 -0.04057575
1410000 293.11816 -2131.1734 1258.1408 1748.156 -9.5936371
1415000 296.84524 -2164.8899 1287.1743 1776.8022 10.151576
1420000 303.93707 -2126.8782 1207.7481 1798.806 23.07083
1425000 291.51269 -2121.9486 1232.0541 1716.9373 -9.2021953
1430000 301.94989 -2125.3683 1216.1551 1790.9526 7.6050845
1435000 304.68223 -2127.5377 1275.8009 1872.8627 24.709157
1440000 304.71384 -2106.3563 1235.4407 1853.9666 -11.738719
1445000 310.52184 -2111.3991 1154.6747 1820.0954 24.385829
1450000 301.67742 -2123.67 1238.0603 1812.1196 11.278894
1455000 289.73182 -2139.817 1223.3597 1674.4492 -4.4926835
1460000 294.26148 -2134.3961 1246.3411 1743.3578 31.556933
1465000 308.5387 -2139.2022 1227.0754 1846.959 -1.8883068
1470000 302.54009 -2109.7374 1209.6066 1805.3128 16.325805
1475000 296.89538 -2114.7945 1274.9836 1815.1553 -11.683237
1480000 300.70223 -2114.8162 1217.3937 1791.5861 6.3899919
1485000 302.39947 -2111.1935 1188.5662 1781.5588 -6.9493746
1490000 299.24016 -2132.176 1264.1491 1807.9073 -36.519956
1495000 299.41713 -2137.0737 1240.1231 1780.5661 4.9185076
1500000 294.03283 -2124.8061 1250.4837 1755.0457 -3.1304104
1505000 298.47619 -2128.9925 1241.1353 1781.2453 13.065176
1510000 297.58813 -2097.6521 1243.1757 1806.6847 -13.856546
1515000 300.62004 -2120.2224 1216.6067 1784.658 19.128774
1520000 299.57788 -2095.8185 1297.0937 1880.2294 4.2162775
1525000 295.23861 -2099.0076 1282.0894 1823.2325 10.551276
1530000 295.9169 -2118.2153 1252.0968 1780.0977 -21.797353
1535000 301.13718 -2109.294 1237.6899 1821.2942 1.8354575
1540000 301.65842 -2085.7736 1261.6047 1873.3905 14.447426
1545000 301.11252 -2127.1128 1275.5429 1841.1078 9.3353663
1550000 293.87548 -2116.8716 1243.252 1754.3413 -17.429585
1555000 296.32822 -2102.6544 1263.9124 1811.1524 -5.5503251
1560000 296.02467 -2106.3176 1287.9574 1828.8198 11.123417
1565000 297.50288 -2072.6545 1223.9901 1811.7343 3.0558795
1570000 306.79665 -2075.8921 1242.6612 1910.2768 -9.8887877
1575000 302.50257 -2089.8325 1212.217 1827.4926 27.576064
1580000 298.26992 -2091.4959 1344.2121 1919.9742 10.554851
1585000 295.35546 -2069.4485 1268.963 1840.7101 18.582709
1590000 305.16691 -2086.2329 1195.3445 1838.0453 -8.8407625
1595000 302.47704 -2112.8607 1240.3891 1832.4082 -10.818533
1600000 297.13973 -2090.6746 1231.9764 1798.4531 5.5708839
1605000 299.9899 -2091.2087 1213.2975 1804.7275 6.7431764
1610000 294.05046 -2117.0185 1292.2462 1804.7533 -4.8822325
1615000 295.27735 -2116.5431 1194.5634 1718.5174 1.8790991
1620000 299.13104 -2107.2657 1236.9192 1804.6119 -9.7400351
1625000 302.44906 -2115.0812 1214.2259 1803.7743 -11.080212
1630000 296.55161 -2100.9645 1235.4156 1786.3432 21.256247
1635000 300.86225 -2089.819 1195.557 1796.1777 -2.6150921
1640000 294.69971 -2089.13 1215.4816 1761.6831 9.1897794
1645000 299.20309 -2078.2108 1243.3325 1840.7244 20.937011
1650000 304.03629 -2092.8998 1221.2275 1847.151 -21.003826
1655000 288.65291 -2092.2317 1254.7257 1743.7525 -6.2896672
1660000 309.38738 -2103.3309 1274.7429 1938.087 -3.6493327
1665000 299.34999 -2094.8686 1250.6103 1832.6581 5.582216
1670000 301.67753 -2105.0592 1240.453 1833.1241 -5.2240479
1675000 298.69305 -2118.3587 1260.217 1812.9 21.830248
