timestep Temp E_pair E_mol TotEng
10000 141.01536 -542.11003 632.12424 1351.0342
15000 290.78643 -553.23075 1280.2109 3327.3175
20000 300.46809 -629.31624 1274.8618 3332.4605
25000 291.23082 -714.83346 1258.9809 3148.4587
30000 299.594 -795.524 1250.246 3133.8204
35000 296.90144 -894.19927 1257.5929 3018.414
40000 308.72744 -996.4511 1242.1388 3006.4613
45000 304.9178 -1046.5686 1286.8758 2967.0134
50000 307.07083 -1089.9446 1276.28 2932.2948
55000 305.5642 -1145.9107 1258.4877 2845.0635
60000 302.31143 -1214.1685 1245.8855 2735.1158
65000 300.64364 -1238.4285 1248.228 2698.2842
70000 298.8918 -1282.356 1255.5964 2646.0595
75000 306.06976 -1308.8804 1254.9915 2683.1185
80000 306.37306 -1314.5869 1287.4984 2712.6312
85000 295.75947 -1292.407 1258.7931 2611.1945
90000 300.14137 -1305.6353 1257.494 2635.8519
95000 294.28402 -1315.3405 1297.959 2614.2328
100000 297.22928 -1317.2327 1228.8284 2569.5478
105000 295.45985 -1321.5272 1214.8996 2535.5015
110000 295.14687 -1308.3808 1245.1463 2576.0958
115000 304.63803 -1396.1142 1265.7826 2593.8727
120000 304.87925 -1426.0551 1264.5599 2564.8662
125000 296.11249 -1458.4738 1319.8035 2509.2949
130000 292.43628 -1485.2407 1245.9383 2375.7886
135000 301.60915 -1490.6336 1268.3991 2474.8843
140000 312.12394 -1499.8268 1251.7037 2543.0234
145000 288.91587 -1470.0516 1312.4184 2425.9768
150000 300.13203 -1487.0889 1254.2801 2451.1009
155000 299.68812 -1507.9874 1210.0304 2381.9832
160000 299.91759 -1493.5266 1254.079 2442.5446
165000 298.7267 -1464.0952 1286.4539 2493.7013
170000 301.51748 -1479.4225 1267.6049 2484.4814
175000 298.94936 -1469.5477 1289.5693 2493.3554
180000 299.31146 -1491.4226 1291.0044 2476.1536
185000 299.23848 -1512.1425 1223.138 2386.9147
190000 302.77846 -1489.609 1248.6383 2466.6045
195000 299.80014 -1478.4961 1201.1051 2403.5508
200000 297.30549 -1475.9579 1266.1916 2448.8672
205000 302.078 -1498.8095 1244.4843 2446.9862
210000 293.38007 -1499.313 1277.4416 2401.6593
215000 297.4323 -1480.509 1271.0336 2450.2922
220000 299.81143 -1463.2501 1270.9459 2488.7385
225000 290.90262 -1502.3543 1305.0729 2404.0949
230000 301.88512 -1497.3107 1241.4928 2443.7687
235000 305.37144 -1494.9512 1224.6376 2460.4491
240000 292.3233 -1489.7172 1223.5149 2347.8784
245000 298.35013 -1522.4156 1241.6886 2387.2482
250000 293.63329 -1505.8286 1302.9015 2422.868
255000 299.24923 -1498.6728 1224.6021 2401.9446
260000 304.86783 -1518.8679 1224.471 2431.8624
265000 293.10861 -1503.3828 1230.3664 2348.0869
270000 299.53307 -1475.3776 1237.9284 2441.1043
275000 298.66269 -1459.3046 1289.7746 2501.2402
280000 298.30538 -1453.4839 1302.6192 2516.7103
285000 297.8343 -1501.2327 1251.3227 2413.4524
290000 297.45822 -1527.6369 1317.8658 2450.2284
295000 299.08683 -1496.2688 1207.7197 2386.014
300000 306.19435 -1512.9785 1301.435 2526.5781
305000 302.26839 -1477.4912 1310.069 2535.5918
310000 300.21687 -1451.0857 1236.5574 2470.1401
315000 300.38401 -1471.3053 1269.5835 2484.4413
320000 295.27047 -1453.4684 1240.8775 2427.8447
325000 294.96831 -1447.765 1253.9883 2443.9568
330000 303.69423 -1456.2528 1259.7672 2519.2788
335000 297.74966 -1493.3917 1265.0928 2434.3066
340000 295.43222 -1503.7603 1212.3025 2350.4243
345000 300.31533 -1505.1551 1260.9501 2441.3439
350000 291.29376 -1480.1238 1281.0499 2405.8003
355000 301.62308 -1435.2531 1273.3296 2535.3199
360000 294.13081 -1409.2336 1276.6472 2497.6579
365000 301.46142 -1460.3637 1313.2213 2548.6552
370000 300.31916 -1435.3817 1229.0642 2479.2657
375000 301.55963 -1438.3341 1280.8291 2539.171
380000 304.16179 -1474.4769 1249.4885 2494.9572
385000 306.55438 -1488.0171 1237.0349 2490.359
390000 296.83876 -1484.5991 1299.6982 2469.559
395000 299.83437 -1471.3421 1284.5765 2494.4823
400000 299.32789 -1511.2337 1301.2353 2466.7204
405000 296.48584 -1496.2128 1238.4566 2393.5477
410000 301.98682 -1492.1647 1220.2147 2428.5461
415000 302.14191 -1471.8066 1262.6651 2492.7414
420000 304.12195 -1441.2366 1269.0998 2547.4524
425000 295.16135 -1427.7602 1295.762 2507.4616
430000 299.21192 -1411.0131 1212.1934 2476.8619
435000 301.22222 -1431.7278 1253.3087 2515.2397
440000 306.48706 -1415.0266 1263.7073 2589.4199
445000 303.22408 -1432.2726 1223.7441 2503.0316
450000 308.26904 -1407.6657 1282.3786 2631.3873
455000 308.13272 -1438.6739 1253.6518 2570.4332
460000 304.81756 -1472.2105 1259.1329 2512.7321
465000 291.71328 -1457.9327 1273.4614 2424.1544
470000 297.90281 -1481.7928 1229.5961 2411.7784
475000 293.87198 -1515.0848 1240.9359 2353.7808
480000 299.2091 -1503.8157 1241.9358 2413.7767
485000 289.29185 -1535.1076 1274.9763 2326.8408
490000 301.33356 -1531.2653 1269.8614 2433.2504
495000 299.66408 -1560.7683 1276.9561 2395.9129
500000 295.90596 -1526.1281 1278.0932 2398.0836
505000 304.11358 -1521.8132 1257.3004 2455.0017
510000 302.92388 -1544.4742 1276.6507 2441.0521
515000 303.65885 -1551.3521 1325.3318 2489.4277
520000 298.68922 -1520.1527 1258.9273 2409.7821
525000 301.98574 -1540.2035 1275.6138 2435.8967
530000 299.15192 -1491.619 1235.3376 2418.8637
535000 289.6252 -1437.2154 1266.9641 2419.7018
540000 294.45713 -1462.5926 1236.1248 2406.6945
545000 308.1004 -1442.6719 1248.5946 2561.089
550000 300.16815 -1435.2721 1247.3867 2496.3474
555000 308.266 -1488.6757 1223.9094 2491.881
560000 297.56353 -1458.7054 1238.4214 2440.6571
565000 295.35096 -1479.4178 1290.5134 2452.2509
570000 291.89109 -1490.5956 1243.6857 2363.3057
575000 297.51665 -1474.053 1266.3093 2452.7781
580000 299.87456 -1480.1415 1242.7886 2444.2545
585000 295.45009 -1510.6839 1230.9473 2362.3052
590000 302.19746 -1474.651 1223.3817 2451.1104
595000 310.91604 -1447.5298 1235.1779 2567.9931
600000 295.52845 -1421.431 1262.4399 2483.7514
605000 298.35334 -1454.6083 1282.2122 2495.6078
610000 295.41766 -1446.7351 1267.0367 2462.0534
615000 306.24706 -1438.6769 1307.5171 2607.433
620000 302.78671 -1410.8489 1267.916 2564.7162
625000 298.50754 -1408.4075 1263.6094 2524.5847
630000 295.32506 -1419.8749 1227.8851 2448.934
635000 301.93289 -1418.7999 1222.5346 2503.7485
640000 296.75913 -1435.2542 1277.858 2496.3516
645000 296.4661 -1440.0866 1252.5043 2463.5451
650000 301.89842 -1426.1654 1235.0961 2508.6362
655000 306.75805 -1439.2206 1291.9953 2595.9372
660000 301.93571 -1445.6055 1289.682 2544.1155
665000 300.37602 -1495.3283 1248.0074 2438.7706
670000 296.96699 -1466.2056 1294.1119 2483.5128
675000 300.08484 -1500.093 1232.1119 2415.5066
680000 302.19804 -1514.4934 1261.4243 2449.3158
685000 297.99712 -1492.9775 1262.7902 2434.6311
690000 293.81747 -1483.7688 1232.7869 2376.4603
695000 294.87578 -1508.1639 1330.6238 2459.3661
700000 299.67056 -1519.3166 1288.1078 2448.5742
705000 303.11549 -1527.9444 1280.4413 2463.0861
710000 297.50813 -1507.7062 1263.7708 2416.5103
715000 301.17129 -1512.7498 1287.9249 2468.3783
720000 294.39103 -1508.1602 1309.9119 2434.3229
725000 304.01921 -1555.3055 1282.8454 2446.2104
730000 303.27029 -1541.0625 1287.344 2458.2549
735000 305.23953 -1498.8911 1273.2988 2503.9908
740000 301.68326 -1515.8344 1286.1073 2468.0544
745000 297.95809 -1514.8599 1296.1625 2445.7719
750000 300.00506 -1527.5856 1274.8062 2429.9949
755000 300.05255 -1500.3732 1260.8161 2443.6418
760000 310.01302 -1508.6964 1279.2613 2542.8347
765000 296.03961 -1533.5725 1239.1939 2352.9349
770000 299.2898 -1511.1457 1308.4908 2473.7232
775000 296.75482 -1531.3732 1302.3471 2424.6831
780000 294.65306 -1547.7518 1246.9076 2334.0702
785000 301.00375 -1531.6718 1247.4639 2407.4971
790000 297.83394 -1495.8247 1210.8699 2378.4044
795000 300.42033 -1470.3422 1284.8805 2501.0261
800000 302.33543 -1476.9921 1326.8556 2553.477
805000 304.19761 -1458.6967 1294.0958 2555.6649
810000 305.75851 -1477.4066 1271.9529 2528.7704
815000 302.84739 -1468.4557 1290.6711 2530.407
820000 305.49186 -1510.695 1251.4848 2472.6295
825000 295.46396 -1532.3304 1245.6272 2355.4626
830000 293.89745 -1499.0245 1283.9847 2413.1176
835000 298.05969 -1462.3024 1254.3502 2457.4258
840000 289.89297 -1469.9883 1233.6875 2356.0468
845000 308.56371 -1492.2815 1281.0649 2548.0929
850000 295.72675 -1519.3382 1324.7034 2449.881
855000 300.31436 -1525.1111 1261.1855 2421.6146
860000 308.62417 -1516.5539 1236.4155 2479.7117
865000 293.48792 -1548.5175 1274.4647 2350.4424
870000 300.96219 -1522.5732 1218.2352 2386.9954
875000 301.92227 -1545.2341 1258.2311 2412.9159
880000 302.40302 -1523.4185 1264.3183 2445.1177
885000 299.28029 -1533.1348 1290.3271 2433.4854
890000 295.88636 -1498.9728 1305.1538 2452.1241
895000 298.50355 -1498.1387 1261.5826 2432.791
900000 300.66851 -1530.8844 1244.2754 2402.0981
905000 306.20725 -1519.0748 1285.0909 2504.253
910000 297.59154 -1506.7098 1212.2768 2366.7586
915000 294.6674 -1514.9041 1234.7425 2354.8812
920000 296.4415 -1520.858 1285.7567 2415.8061
925000 299.53684 -1504.1029 1264.4299 2438.9142
930000 301.80199 -1516.8405 1268.6909 2450.6936
935000 304.4821 -1514.9924 1177.8382 2385.6558
940000 299.61468 -1522.2713 1246.3083 2403.3203
945000 300.76362 -1512.2734 1207.277 2384.5613
950000 295.40504 -1563.9738 1241.5775 2319.2427
955000 293.01176 -1567.1508 1279.5027 2332.5892
960000 294.88878 -1537.6558 1278.4292 2377.7957
965000 303.93474 -1525.3943 1291.5154 2484.0362
970000 296.62969 -1537.7644 1293.1906 2408.0164
975000 301.55528 -1517.5361 1260.3836 2439.4845
980000 294.58023 -1540.7518 1254.358 2347.8693
985000 308.97094 -1535.9648 1308.6729 2535.6592
990000 292.97164 -1520.0953 1277.7063 2377.4895
995000 297.69888 -1530.3684 1236.4178 2368.2008
1000000 301.97959 -1491.5865 1247.0913 2455.9362
1005000 295.07722 -1530.7662 1201.4083 2309.3495
1010000 299.07286 -1492.2102 1239.1852 2421.4131
1015000 297.61198 -1493.3542 1252.5291 2420.5492
1020000 292.25622 -1481.9202 1279.1911 2410.7517
1025000 299.50563 -1461.1988 1255.4368 2472.5462
1030000 301.88555 -1452.1173 1248.5027 2495.9759
1035000 303.70294 -1428.6227 1268.9993 2556.2189
1040000 302.75087 -1470.0876 1242.1941 2479.435
1045000 301.72225 -1420.7153 1252.702 2530.1168
1050000 308.14586 -1384.4967 1270.994 2642.0701
1055000 300.28976 -1389.0296 1237.2921 2533.5826
1060000 300.07934 -1364.277 1260.2077 2579.3692
1065000 298.12908 -1398.6491 1255.9905 2523.3398
1070000 301.30283 -1390.3851 1290.571 2594.5653
1075000 297.72995 -1400.4637 1272.9096 2534.8752
1080000 298.91371 -1421.1546 1238.7987 2490.6591
1085000 302.01182 -1467.5978 1269.9596 2503.0814
1090000 295.49828 -1459.6762 1277.6556 2460.4521
1095000 298.73226 -1468.5665 1280.3982 2483.224
1100000 302.12432 -1440.8612 1228.7421 2489.6065
1105000 296.38286 -1458.3608 1231.659 2423.6812
1110000 300.18674 -1501.5388 1273.5504 2456.4105
1115000 301.18856 -1507.0075 1284.1246 2470.4748
1120000 298.96641 -1508.1584 1248.4794 2413.8072
1125000 295.84024 -1527.9455 1253.6576 2371.2428
1130000 300.72141 -1491.6801 1254.3672 2451.8673
1135000 300.93894 -1521.3593 1241.3362 2411.1024
1140000 296.04193 -1545.1793 1288.0728 2390.2278
1145000 297.95958 -1524.9489 1290.6973 2430.2312
1150000 301.54722 -1498.7577 1270.0364 2467.8436
1155000 303.21694 -1514.2134 1263.3106 2460.5934
1160000 295.46819 -1538.2313 1282.4397 2386.412
1165000 300.24438 -1505.8559 1254.3944 2433.4529
1170000 294.93918 -1469.3304 1265.6213 2433.7639
1175000 297.82399 -1552.4042 1276.9738 2387.8398
1180000 297.99184 -1512.3418 1290.32 2442.7494
1185000 300.39803 -1513.2521 1265.4651 2438.5014
1190000 297.3901 -1517.6327 1290.6648 2432.4223
1195000 304.54863 -1522.3944 1294.7199 2495.7304
1200000 292.80205 -1512.9377 1288.3798 2393.8039
1205000 301.98443 -1512.9354 1232.0627 2419.602
1210000 303.02599 -1543.3765 1277.1622 2443.5744
1215000 307.26865 -1548.0928 1263.3534 2462.989
1220000 302.41427 -1509.4542 1243.0398 2437.9041
1225000 308.67096 -1515.9563 1265.7884 2510.1005
1230000 301.80433 -1482.9865 1274.1389 2490.0165
1235000 297.0176 -1457.1856 1212.6485 2411.5221
1240000 289.82917 -1474.0466 1270.0577 2387.7883
1245000 297.33159 -1463.6927 1249.8268 2445.0012
1250000 303.23519 -1454.4803 1291.6086 2548.7879
1255000 303.89326 -1458.3021 1235.1646 2494.4068
1260000 297.8225 -1472.7363 1303.7637 2494.2843
1265000 299.5735 -1453.6817 1260.4431 2485.6765
1270000 293.88155 -1457.086 1261.9571 2432.8864
1275000 306.04976 -1440.784 1272.9547 2568.9993
1280000 298.79853 -1478.6459 1270.6851 2464.0243
1285000 304.20572 -1481.0702 1264.0985 2503.3667
1290000 299.96695 -1471.8664 1257.39 2467.957
1295000 299.54891 -1427.1068 1250.8875 2502.476
1300000 300.40929 -1456.2433 1260.836 2490.9818
1305000 290.48937 -1462.8873 1317.3229 2452.1165
1310000 308.46597 -1450.4345 1291.5299 2599.5308
1315000 298.60707 -1484.6673 1264.0535 2449.6591
1320000 299.86954 -1472.5678 1290.1703 2499.1649
1325000 299.27945 -1474.1264 1244.6532 2446.8124
1330000 295.76998 -1488.4747 1217.7949 2374.2226
1335000 300.91485 -1507.5151 1264.9802 2448.3751
1340000 298.38787 -1457.2032 1276.4992 2487.6086
1345000 306.01041 -1431.9567 1276.8327 2581.3527
1350000 300.15142 -1424.2335 1275.1786 2535.0282
1355000 300.18342 -1436.6177 1229.1644 2476.916
1360000 296.83852 -1454.9801 1229.6135 2429.0912
1365000 291.35441 -1481.0791 1242.5077 2366.8451
1370000 300.36308 -1470.9735 1204.421 2419.4233
1375000 298.14162 -1458.8611 1285.6296 2492.879
1380000 300.4711 -1460.7709 1237.6353 2463.8063
1385000 296.75234 -1449.2046 1310.4139 2514.8964
1390000 306.04524 -1445.256 1260.2663 2551.7985
1395000 296.65196 -1453.2253 1284.5776 2484.1417
1400000 304.4783 -1431.5219 1283.7221 2574.9761
1405000 295.82843 -1446.4739 1213.9746 2412.9258
1410000 306.35245 -1470.7004 1275.4855 2544.3205
1415000 305.75362 -1436.8335 1254.2501 2551.597
1420000 299.16568 -1458.2852 1289.8617 2506.8448
1425000 293.44147 -1410.7937 1294.5314 2507.8175
1430000 292.17809 -1404.6973 1255.4451 2463.53
1435000 296.51154 -1409.7695 1253.201 2494.9652
1440000 301.94396 -1381.6202 1257.7487 2576.2413
1445000 299.32568 -1411.9323 1254.6082 2519.3749
1450000 291.82945 -1414.4756 1261.2976 2456.4864
1455000 299.30725 -1399.7089 1270.564 2547.3893
1460000 298.75072 -1403.7935 1287.3943 2555.1583
1465000 306.61406 -1450.3194 1229.8256 2521.381
1470000 301.14172 -1422.8294 1264.2263 2534.3358
1475000 304.67692 -1489.095 1231.3631 2466.8202
1480000 300.28026 -1527.6231 1299.2532 2456.8653
1485000 304.20727 -1519.9658 1282.9303 2483.3167
1490000 296.25479 -1508.9246 1241.1285 2381.4416
1495000 304.13932 -1509.5664 1291.9772 2502.1554
1500000 299.76334 -1482.0306 1258.0418 2456.6239
1505000 295.47658 -1449.3716 1235.3888 2428.2958
1510000 292.6635 -1461.4319 1244.6164 2400.3074
1515000 294.10864 -1445.1488 1242.5778 2427.475
1520000 293.33936 -1422.062 1245.4956 2446.6004
1525000 301.83765 -1429.5858 1223.0791 2492.6554
1530000 307.10733 -1422.7833 1238.6026 2562.1051
1535000 298.25901 -1420.9351 1303.0655 2549.2908
1540000 304.55814 -1430.1255 1234.8652 2528.2296
1545000 300.85512 -1418.6174 1248.448 2520.2065
1550000 297.99858 -1412.789 1254.4511 2506.4936
1555000 302.11248 -1414.9243 1271.4665 2558.162
1560000 297.903 -1446.9654 1255.3494 2472.3608
1565000 293.71269 -1475.1359 1258.7565 2410.1258
1570000 297.84728 -1418.7597 1266.8185 2511.5373
1575000 294.23452 -1403.7426 1312.2159 2539.6449
1580000 303.70146 -1480.1141 1231.3516 2467.0666
1585000 303.97355 -1494.0105 1275.7154 2499.9672
1590000 301.76449 -1472.2254 1257.2113 2483.4937
1595000 302.64273 -1526.6246 1267.936 2447.6728
1600000 303.7806 -1533.4657 1281.0093 2464.0804
1605000 304.44279 -1521.3376 1274.7088 2475.8295
1610000 307.82809 -1528.4773 1275.51 2499.764
1615000 294.6254 -1531.2984 1275.853 2379.2217
1620000 298.87749 -1487.2843 1251.5033 2436.9101
1625000 298.58542 -1497.4308 1206.9564 2379.6048
1630000 292.37674 -1485.39 1303.1974 2432.366
1635000 301.67038 -1495.1356 1282.1517 2484.6823
1640000 295.31527 -1496.1018 1245.7412 2390.4755
1645000 305.36376 -1463.6908 1207.9417 2474.945
1650000 300.2357 -1455.8803 1262.4249 2491.3814
1655000 300.98211 -1436.871 1260.5274 2515.1679
1660000 312.00075 -1443.5873 1292.6237 2639.0814
1665000 308.23672 -1458.9004 1256.832 2554.3169
1670000 300.0509 -1482.9969 1279.2043 2479.3916
1675000 302.8712 -1478.6127 1285.8896 2515.6815
1680000 300.88431 -1463.0303 1289.531 2517.1376
1685000 300.09158 -1479.8693 1231.938 2435.6167
1690000 303.0958 -1446.9761 1254.2785 2517.7154
1695000 303.48142 -1473.1214 1255.7141 2496.4541
1700000 300.9338 -1484.7651 1293.3457 2499.66
1705000 297.9649 -1454.3642 1226.3154 2436.4815
1710000 305.26947 -1482.9943 1318.5066 2565.3631
1715000 301.04357 -1455.4017 1214.7706 2451.43
1720000 299.16035 -1448.7911 1235.1842 2461.6136
1725000 312.3504 -1446.9078 1293.6789 2639.9427
1730000 300.78356 -1492.4374 1246.4841 2443.7826
1735000 297.85051 -1485.0466 1279.625 2458.0859
1740000 295.52793 -1520.5444 1240.6887 2362.8822
1745000 297.97567 -1529.2692 1235.2954 2370.6529
1750000 291.74077 -1529.2187 1221.7121 2301.3648
1755000 305.62679 -1503.3963 1228.0485 2457.6985
1760000 298.53752 -1528.5701 1260.413 2401.4938
1765000 298.8148 -1504.9978 1223.4753 2390.6079
1770000 297.56695 -1479.234 1250.9531 2432.6908
1775000 295.59227 -1478.9096 1273.5361 2437.9397
1780000 288.51596 -1475.6648 1255.1038 2359.4728
1785000 306.4316 -1479.6836 1263.9266 2524.4861
1790000 299.85135 -1463.8233 1258.8536 2476.4301
1795000 302.1177 -1485.8694 1189.0795 2404.8766
1800000 296.68243 -1470.019 1215.8501 2398.893
1805000 294.62921 -1461.3355 1255.9224 2429.288
1810000 301.95093 -1440.2863 1262.8653 2522.7541
1815000 297.23094 -1473.0832 1274.8294 2459.7131
1820000 293.07442 -1475.8342 1293.1498 2438.113
1825000 293.5715 -1479.4963 1228.9409 2374.6873
1830000 297.31592 -1497.3516 1337.8259 2499.2012
1835000 300.41734 -1466.4271 1317.288 2537.322
1840000 298.48207 -1487.3724 1276.0339 2457.8166
1845000 298.08686 -1513.5385 1244.091 2396.1734
1850000 302.80434 -1501.6009 1290.6526 2496.8583
1855000 298.70241 -1485.7081 1246.3477 2431.765
1860000 293.64823 -1477.0496 1254.1595 2403.0387
1865000 298.48864 -1453.0631 1322.8213 2538.972
1870000 300.39605 -1478.3478 1246.6808 2454.6038
1875000 300.78483 -1471.7387 1296.6585 2514.667
1880000 307.48297 -1457.93 1295.6678 2587.3828
1885000 296.06922 -1464.8423 1241.7049 2424.441
1890000 300.43279 -1484.1646 1250.2656 2452.7002
1895000 302.89409 -1511.1492 1300.785 2498.2451
1900000 293.97474 -1483.5832 1297.7313 2442.9967
1905000 294.17811 -1503.9988 1299.835 2426.5034
1910000 297.37711 -1513.9641 1218.5335 2363.8434
1915000 303.3932 -1532.8275 1262.1219 2442.3669
1920000 297.34915 -1492.64 1288.0128 2454.3968
1925000 301.25715 -1494.3801 1256.3418 2455.9326
1930000 298.06987 -1501.4319 1238.2653 2402.3025
1935000 299.79214 -1456.2626 1276.6057 2501.2133
1940000 305.14621 -1431.8461 1290.6912 2587.5937
1945000 305.64763 -1415.1758 1222.5567 2540.6135
1950000 298.9997 -1417.8261 1270.8149 2526.7727
1955000 294.94871 -1443.0364 1253.7656 2448.2874
1960000 302.45658 -1426.5928 1277.0099 2555.1139
1965000 302.81892 -1404.7119 1264.3216 2567.5468
1970000 289.16184 -1442.8625 1283.6463 2426.5933
1975000 292.35124 -1449.1205 1240.045 2405.255
1980000 303.75172 -1443.88 1283.169 2555.5675
1985000 297.43155 -1447.7083 1244.1968 2456.2494
1990000 300.35027 -1430.1524 1284.4294 2540.1383
1995000 298.01677 -1427.2193 1276.686 2514.4608
2000000 298.92348 -1503.3471 1261.0968 2430.8521
2005000 306.13562 -1460.4455 1288.407 2565.5579
2010000 299.6645 -1457.4292 1283.5877 2505.8874
2015000 302.58372 -1469.3119 1224.8007 2461.3226
2020000 289.27237 -1476.5247 1260.3582 2370.6315
2025000 297.87488 -1460.6935 1264.1033 2467.135
2030000 293.86756 -1505.1596 1232.1903 2354.9208
2035000 305.82464 -1511.3399 1260.932 2484.4076
2040000 300.55953 -1520.1264 1160.0126 2327.6187
2045000 299.31475 -1522.9188 1279.7936 2433.4761
2050000 296.94706 -1512.6488 1261.8324 2404.612
2055000 292.61406 -1527.9123 1297.9536 2386.7221
2060000 300.66166 -1438.4704 1266.6385 2516.814
2065000 307.31255 -1460.9793 1289.9422 2577.0839
2070000 297.93358 -1466.7763 1263.3741 2460.848
2075000 303.50655 -1507.2471 1251.9045 2458.7435
2080000 310.38876 -1465.9097 1261.9737 2571.6939
2085000 302.77651 -1481.6827 1274.468 2500.3431
2090000 304.62441 -1461.0033 1259.6311 2522.7103
2095000 300.84859 -1435.8858 1267.852 2522.2838
2100000 300.48971 -1435.9392 1265.7175 2516.8865
2105000 295.90791 -1427.2031 1312.9611 2531.8938
2110000 299.88862 -1434.0727 1289.8806 2537.541
2115000 303.98834 -1427.5214 1279.7365 2570.6096
2120000 296.0224 -1419.673 1257.0269 2484.5135
2125000 301.36238 -1433.3989 1256.9376 2518.4507
2130000 305.35742 -1459.4269 1211.8767 2483.0872
2135000 301.3655 -1474.3116 1236.4688 2457.0971
2140000 298.34566 -1470.1178 1297.9901 2495.8076
2145000 289.00949 -1458.5357 1248.374 2374.2855
2150000 297.09496 -1464.6341 1234.4602 2426.5771
2155000 306.7776 -1496.5063 1277.159 2523.99
2160000 302.3379 -1485.8907 1210.5431 2428.288
2165000 302.00885 -1469.296 1257.8371 2489.2342
2170000 307.4988 -1452.4372 1224.9133 2522.2626
2175000 298.0541 -1442.2161 1251.573 2474.6849
2180000 298.74318 -1451.6944 1275.6326 2495.4282
2185000 304.65143 -1478.7514 1290.5935 2536.1662
2190000 292.35599 -1444.9424 1296.2797 2465.7103
2195000 304.82599 -1447.1779 1244.5022 2523.2094
2200000 296.72507 -1441.5657 1243.0995 2454.977
2205000 297.30496 -1435.9666 1289.2198 2511.8819
2210000 299.27569 -1418.9931 1289.6635 2546.9224
2215000 299.82347 -1449.1215 1233.7829 2465.8118
2220000 299.38911 -1446.3454 1263.0954 2494.0162
2225000 300.44755 -1477.5726 1254.7572 2463.9158
2230000 294.5061 -1455.9107 1299.0267 2476.7162
2235000 305.41014 -1479.3891 1258.1912 2509.9109
2240000 292.89613 -1467.1806 1270.4569 2422.4795
2245000 298.10547 -1476.1365 1283.1013 2472.7522
2250000 302.42022 -1470.3617 1324.6653 2558.6752
2255000 294.25405 -1432.493 1250.8771 2449.7304
2260000 297.14159 -1393.4905 1269.0872 2532.7646
2265000 300.50051 -1425.9464 1282.1114 2543.3698
2270000 304.92972 -1419.9843 1266.8324 2573.6609
2275000 299.47947 -1398.6491 1256.103 2535.5282
2280000 300.60742 -1340.2853 1264.6543 2612.5299
2285000 297.66699 -1388.0974 1283.2042 2556.9731
2290000 293.07283 -1420.5455 1298.0123 2498.2502
2295000 296.36505 -1405.1483 1234.8602 2479.9356
2300000 304.70143 -1477.5827 1209.6461 2456.8346
2305000 303.28115 -1466.6442 1272.2416 2517.6679
2310000 305.99811 -1473.1337 1261.5619 2524.7949
2315000 295.0304 -1439.4696 1229.8787 2428.6978
2320000 302.88933 -1474.8601 1229.0421 2462.7487
2325000 292.09573 -1476.735 1211.1549 2346.4655
2330000 302.95385 -1473.9504 1296.3158 2531.509
2335000 304.06181 -1455.1431 1215.9924 2479.9008
2340000 300.49013 -1502.2677 1258.9536 2443.7979
2345000 295.54211 -1492.0202 1243.863 2394.7074
2350000 300.46131 -1473.0128 1282.8131 2496.6546
