timestep Temp E_pair E_mol TotEng Press
485000 299.82255 -10794.838 1270.1967 -6843.4995 -19.225121
490000 306.45044 -10760.406 1248.1874 -6771.8066 -33.68749
495000 295.5689 -10791.187 1224.986 -6923.0963 -18.071089
500000 296.05502 -10834.921 1239.4911 -6947.979 -2.0001705
505000 303.17278 -10814.782 1292.3737 -6811.3065 30.705155
510000 288.34874 -10853.4 1225.0833 -7049.7787 15.92626
515000 295.37423 -10794.44 1233.8544 -6919.2223 -11.860723
520000 298.0417 -10812.333 1227.8276 -6919.2883 8.8464036
525000 300.74703 -10874.928 1270.8329 -6914.686 5.044605
530000 292.05363 -10885.691 1254.7348 -7019.2873 16.204936
535000 297.21393 -10868.414 1219.5137 -6991.0855 4.8639242
540000 299.64228 -10793.866 1227.8311 -6886.5048 -2.0901544
545000 303.39275 -10843.932 1238.1507 -6892.7126 -20.356829
550000 295.0717 -10943.102 1209.8389 -7094.6046 -11.052911
555000 295.6925 -10839.737 1208.588 -6986.9395 -22.369033
560000 296.58989 -10864.413 1228.0795 -6984.0991 20.007023
565000 300.52336 -10985.121 1249.4099 -7048.302 5.1018834
570000 299.40879 -10932.855 1246.9304 -7008.4825 -7.3813103
575000 287.96204 -10965.513 1264.6109 -7125.8217 15.391606
580000 298.63074 -10875.633 1229.7568 -6975.3916 14.169385
585000 294.70877 -10989.181 1247.8017 -7105.9664 -1.2327982
590000 303.92178 -10943.331 1204.1469 -7021.3845 2.0341311
595000 300.91724 -10866.084 1242.1444 -6933.0078 -4.8569343
600000 292.62891 -10930.959 1238.9621 -7075.1838 4.5589296
605000 302.31465 -10894.164 1240.0441 -6950.6924 8.4088885
610000 298.22085 -10992.363 1204.3008 -7121.2428 3.0316887
615000 308.32705 -10923.262 1249.5978 -6916.4707 -20.208448
620000 295.38385 -10952.147 1243.8472 -7066.8503 7.3052849
625000 293.95425 -10877.613 1248.2707 -7000.6774 7.4201876
630000 302.75085 -10849.131 1264.4179 -6877.3847 -9.1151655
635000 297.02094 -10899.698 1232.9805 -7010.6284 5.3899787
640000 305.27251 -10828.626 1244.5849 -6854.1628 -3.2501848
645000 297.37464 -10853.899 1216.4072 -6978.24 -4.7329673
650000 306.34221 -10814.714 1251.0805 -6824.1892 -10.372002
655000 300.68357 -10839.543 1259.3755 -6891.3257 -26.626294
660000 296.5066 -10963.516 1271.3554 -7040.6714 -1.7213977
665000 296.90963 -10859.888 1240.3602 -6964.4341 -7.7318698
670000 306.08766 -10958.621 1222.0524 -6999.4008 0.51284261
675000 302.93049 -10856.764 1216.5215 -6931.3072 -8.7283307
680000 302.56879 -10935.561 1238.6669 -6991.1934 9.7424322
685000 292.01373 -10854.431 1270.0888 -6973.0303 -18.639483
690000 301.82451 -10821.976 1269.7858 -6853.1455 -17.273855
695000 299.16035 -10885.572 1241.3077 -6969.0436 37.495291
700000 303.18128 -10877.316 1190.1313 -6976.0072 0.67257221
705000 291.28867 -10943.174 1271.1244 -7067.2211 -11.246011
710000 308.38846 -11015.498 1208.7228 -7049.0329 -4.7568072
715000 299.4109 -10960.408 1258.6305 -7024.3169 -3.699574
720000 298.65295 -10856.491 1197.5227 -6988.2854 10.799075
725000 295.22259 -10748.744 1229.2942 -6879.442 -22.293677
730000 306.28151 -10803.309 1264.049 -6800.3586 -3.5772563
735000 303.28609 -10839.509 1248.1617 -6879.2328 4.654985
740000 298.95256 -10793.812 1278.7058 -6841.7436 4.437752
745000 296.64899 -10987.721 1239.8589 -7095.0988 0.19774146
750000 301.83621 -10867.074 1244.0173 -6923.9078 4.7388287
755000 308.50702 -10884.544 1233.1473 -6892.5945 -4.489643
760000 300.78528 -11017.743 1231.5396 -7096.4525 5.2457913
765000 302.50226 -10902.588 1225.4318 -6972.0512 24.153513
770000 306.33843 -11078.083 1226.9295 -7111.7431 -2.9766482
775000 297.73576 -11128.74 1268.3487 -7197.9104 16.765749
780000 302.67342 -11022.001 1276.0613 -7039.3042 19.170451
785000 298.49779 -11072.51 1217.5251 -7185.6897 2.0319933
790000 295.70475 -11078.306 1232.471 -7201.5159 -15.255218
795000 303.7404 -11165.825 1245.6988 -7203.949 -6.7380848
800000 295.16031 -11112.937 1187.1321 -7286.3544 1.994051
805000 298.06354 -11158.143 1201.0704 -7291.6603 -2.3910247
810000 292.44809 -11088.798 1204.2601 -7269.3414 -3.7845778
815000 300.99466 -11129.37 1199.1496 -7238.5964 3.6252159
820000 281.85943 -11127.408 1244.0166 -7362.8835 4.2665813
825000 295.4767 -11122.61 1220.7149 -7259.615 2.0522793
830000 295.66246 -11055.708 1223.0762 -7188.6908 -17.023845
835000 302.88235 -11119.987 1272.2567 -7139.2263 2.1957058
840000 301.64267 -11172.16 1222.6024 -7252.1395 11.947591
845000 303.99088 -11084.412 1211.2846 -7154.7106 -4.5029527
850000 303.66937 -11129.213 1241.6412 -7172.03 7.0104646
855000 300.57642 -11032.434 1176.9961 -7167.5539 0.94910016
