timestep Temp E_pair E_mol TotEng
10000 143.32935 -1291.9682 1060.7771 1904.9968
15000 298.85297 -1254.8981 2124.4167 5323.6383
20000 300.971 -1455.083 2176.6306 5207.2345
25000 304.68269 -1611.3227 2130.2776 5059.9611
30000 301.37969 -1727.7874 2168.1891 4932.1798
35000 297.94882 -1837.8786 2123.9701 4726.7357
40000 302.81103 -1932.8512 2176.6517 4756.9113
45000 301.2107 -2039.7547 2169.258 4618.7627
50000 302.42156 -2091.4289 2169.2276 4585.1048
55000 299.91502 -2182.1741 2181.0306 4468.805
60000 306.43225 -2193.9429 2233.0229 4606.1617
65000 304.39475 -2203.8565 2173.8195 4506.6776
70000 304.49646 -2264.2797 2181.3532 4455.3039
75000 295.81698 -2282.6628 2206.6214 4332.8297
80000 299.69366 -2342.3866 2108.8967 4233.1594
85000 302.89916 -2379.1346 2094.9261 4230.2158
90000 294.41946 -2442.3961 2128.3698 4074.0162
95000 297.40049 -2390.7686 2177.767 4219.4703
100000 295.98215 -2483.165 2243.0629 4171.2307
105000 305.47556 -2509.6279 2141.8764 4185.0716
110000 296.4696 -2499.1246 2177.199 4096.6722
115000 301.37125 -2594.2929 2109.342 4006.7014
120000 294.46128 -2588.8333 2193.4253 3993.2577
125000 302.18287 -2614.2899 2123.7204 4013.1792
130000 291.08254 -2633.4722 2134.8104 3839.6471
135000 298.10686 -2655.537 2141.0346 3928.4972
140000 305.80712 -2656.9482 2182.1462 4082.9627
145000 301.10071 -2680.7076 2141.2532 3948.1657
150000 299.22275 -2746.1671 2093.3691 3806.8329
155000 298.85262 -2752.4557 2142.2998 3843.9585
160000 302.62635 -2789.2501 2194.1729 3915.2811
165000 297.72752 -2793.8678 2095.7695 3739.2476
170000 297.63568 -2815.06 2142.2023 3763.1195
175000 300.10317 -2829.3567 2120.1047 3763.5007
180000 299.35149 -2818.0907 2148.9971 3792.4559
185000 297.28988 -2828.8667 2105.8923 3707.8489
190000 299.07558 -2810.2516 2103.4459 3750.6317
195000 295.20063 -2867.755 2110.4439 3642.374
200000 300.14001 -2840.3998 2124.6373 3757.5393
205000 301.60145 -2848.997 2144.4842 3790.5704
210000 299.18774 -2872.8282 2139.3037 3725.5845
215000 303.39633 -2901.3277 2116.7883 3737.2947
220000 298.81345 -2866.7921 2155.4108 3742.1495
225000 300.36581 -2907.6139 2116.7985 3685.8518
230000 300.49877 -2897.2946 2129.735 3711.0891
235000 293.06941 -2939.9686 2078.3079 3506.2605
240000 296.33516 -2913.2371 2136.0792 3639.4363
245000 296.97329 -2916.4716 2091.6922 3601.3255
250000 296.86667 -2921.8182 2119.1053 3621.8028
255000 300.49366 -2905.6412 2200.9455 3773.8768
260000 301.01284 -2923.4923 2093.965 3656.7831
265000 297.88702 -2909.837 2099.153 3629.0391
270000 296.68494 -2913.2444 2139.7758 3648.3386
275000 298.17349 -2959.206 2124.8476 3609.6342
280000 298.70289 -2950.2874 2049.9335 3551.5289
285000 300.76923 -2944.9986 2173.1315 3710.8126
290000 302.66581 -2936.0628 2089.7332 3664.6168
295000 299.91552 -2959.1259 2154.2591 3665.0892
300000 295.86489 -2932.911 2116.7876 3593.4617
305000 310.56948 -2934.3518 2078.75 3773.1414
310000 300.93258 -2975.2902 2116.4271 3626.2513
315000 304.36837 -2950.1125 2078.5552 3664.7643
320000 299.47791 -2998.8276 2109.8276 3574.4337
325000 299.18298 -2942.3092 2116.9562 3633.6851
330000 300.87799 -2923.6981 2094.2479 3654.8504
335000 295.41352 -2956.8924 2141.5981 3587.5636
340000 293.1601 -2931.6012 2117.9715 3555.6433
345000 298.48858 -2934.7565 2103.2678 3617.2
350000 297.19484 -2940.912 2137.6437 3626.1385
355000 298.98106 -2941.9533 2106.7481 3620.8236
360000 305.54684 -2910.262 2128.4454 3772.0689
365000 299.11933 -2876.4827 2043.4119 3625.0187
370000 298.3891 -2889.3631 2118.2174 3676.0604
375000 303.30663 -2906.6875 2092.9211 3706.7309
380000 301.44113 -2938.7338 2129.9122 3683.8722
385000 302.667 -2947.9631 2107.0413 3670.0424
390000 296.2943 -2950.8116 2113.1069 3578.2804
395000 300.05215 -2957.564 2115.0642 3629.4924
400000 302.05129 -2891.0984 2176.1591 3786.8483
405000 301.11276 -2901.1398 2082.2145 3668.8744
410000 294.89506 -2958.829 2051.4917 3487.7935
415000 303.18755 -2970.2193 2116.5338 3665.0371
420000 298.04136 -2989.7767 2110.319 3562.5656
425000 296.3286 -2958.7713 2081.3842 3539.1094
430000 302.39602 -2979.1816 2121.7908 3649.5346
435000 299.05564 -2987.3232 2074.8342 3544.6512
440000 297.94952 -2967.5119 2109.5337 3582.6764
445000 295.36918 -2995.0528 2166.9164 3574.0606
450000 298.81919 -3009.4061 2121.1669 3565.3771
455000 296.94501 -2991.0408 2149.3511 3583.9937
460000 302.01693 -2977.7001 2109.4693 3633.0446
465000 301.64117 -3002.3734 2137.6891 3630.9908
470000 296.28744 -3016.0016 2154.3617 3554.2429
475000 303.10458 -2980.9226 2177.7014 3714.2647
480000 302.00415 -2981.5553 2141.3307 3660.8605
485000 298.30311 -2957.7983 2098.42 3586.5462
490000 301.76581 -2972.364 2157.7226 3682.8913
495000 297.69358 -2974.2518 2117.3793 3579.9675
500000 302.02263 -2976.1072 2122.8668 3648.12
505000 297.39084 -2981.829 2166.5647 3617.0637
510000 304.22516 -2934.1983 2130.0069 3729.9956
515000 305.33875 -2965.1517 2159.15 3744.7824
520000 298.0066 -2974.4743 2105.0208 3572.0517
525000 298.87584 -2991.1738 2120.534 3583.8207
530000 300.23557 -2916.7506 2108.7102 3666.6857
535000 306.25812 -2952.4615 2159.8721 3771.897
540000 300.17767 -2934.0683 2125.3369 3665.1317
545000 300.23 -2921.7137 2113.1112 3666.0405
550000 301.67734 -2937.3162 2116.275 3675.173
555000 304.26389 -2926.9755 2124.047 3731.8358
560000 296.4813 -2919.0722 2138.1167 3637.8166
565000 297.09304 -2910.6852 2091.9034 3609.1078
570000 295.12084 -2885.2384 2153.0883 3666.3457
575000 301.18998 -2903.9728 2156.1931 3741.1708
580000 306.92718 -2859.3649 2101.0796 3816.1728
585000 297.55876 -2899.5929 2066.1998 3601.4375
590000 297.07438 -2918.9505 2161.7876 3670.4486
595000 293.67632 -2905.9709 2116.6686 3587.6643
600000 300.42154 -2888.4241 2145.4839 3734.5575
605000 298.53676 -2947.2665 2091.1636 3593.3038
610000 298.51282 -2870.1189 2135.1836 3714.1149
615000 303.28898 -2908.1491 2115.9081 3727.9932
620000 295.35071 -2903.0035 2058.6046 3557.5229
625000 299.83271 -2918.4182 2145.0728 3695.3764
630000 303.38956 -2930.9271 2091.5184 3682.3246
635000 295.62427 -2955.2929 2119.6208 3570.3269
640000 301.67009 -2932.4059 2165.6084 3729.3086
645000 301.86376 -2961.6962 2078.8528 3616.1491
650000 302.76035 -2962.2041 2062.0802 3612.2315
655000 303.07424 -3004.187 2184.3363 3697.183
660000 300.16871 -2988.2293 2085.31 3570.8102
665000 294.52492 -2984.0798 2174.4562 3579.9906
670000 299.984 -3008.6681 2081.6915 3544.0001
675000 303.8502 -2994.6357 2111.4734 3645.4364
680000 299.29625 -2999.1391 2081.9085 3543.4958
685000 298.59758 -2971.1355 2098.7384 3577.9163
690000 296.67246 -2966.3351 2172.4372 3627.7233
695000 301.07047 -2959.1107 2117.1974 3645.2561
700000 308.49337 -2934.5572 2103.1407 3766.3843
705000 300.45318 -2941.0253 2088.8871 3625.8311
710000 300.8299 -2992.4793 2134.3971 3625.5018
715000 299.0613 -2967.5877 2080.4719 3570.1088
720000 297.70308 -3014.2745 2130.847 3553.5542
725000 299.89423 -2962.7971 2071.8616 3578.7032
730000 291.82741 -3017.192 2033.1778 3365.396
735000 303.47835 -3013.5065 2124.7733 3634.3234
740000 305.46566 -3054.3718 2061.2673 3559.571
745000 301.711 -3032.8448 2140.8612 3604.7322
750000 299.31122 -3022.7348 2101.5444 3539.7591
755000 299.00758 -3014.3985 2131.7026 3573.728
760000 296.1975 -3035.1963 2134.8184 3514.1646
765000 308.63999 -3034.3797 2130.5275 3696.1337
770000 303.48341 -3034.2734 2109.5833 3598.4419
775000 305.19213 -3030.5775 2052.0587 3570.0801
780000 300.09035 -3041.4971 2107.1774 3538.242
785000 302.15173 -2991.1351 2142.7686 3654.918
790000 304.09546 -2970.6664 2091.9283 3653.516
795000 298.83958 -2988.2066 2091.4776 3557.1911
800000 304.0726 -2996.0126 2111.3253 3647.226
805000 300.2379 -2990.4785 2147.1168 3631.3991
810000 294.80512 -2932.1028 2165.6287 3627.3163
815000 296.4849 -2977.4575 2121.5037 3562.872
820000 305.0777 -2979.6549 2100.2436 3667.4821
825000 301.17204 -2963.9401 2087.5211 3612.2642
830000 302.72634 -2970.2087 2063.2538 3604.8936
835000 298.13325 -2927.9469 2077.8876 3593.3336
840000 303.51443 -2975.9661 2136.624 3684.2522
845000 295.67508 -2980.3622 2074.1428 3500.5368
850000 301.28698 -2980.5298 2179.4618 3689.3282
855000 299.08833 -3005.9181 2161.5761 3613.2854
860000 294.13745 -3023.5208 2077.3261 3437.6447
865000 305.92762 -3061.1518 2062.4775 3560.8864
870000 296.17686 -3038.393 2143.8322 3519.6741
875000 303.58667 -3014.7201 2086.0366 3595.9875
880000 299.98518 -3025.6047 2124.8156 3570.2051
885000 299.39979 -3044.9019 2113.732 3531.0997
890000 305.63598 -3012.1971 2116.9374 3659.9543
895000 302.66604 -3025.6928 2116.8981 3602.1551
900000 298.1243 -3009.1957 2077.8777 3511.9416
905000 300.14253 -3015.7895 2148.3758 3605.9257
910000 293.8603 -3023.7919 2060.4073 3416.3241
915000 298.40044 -3014.9957 2073.7559 3506.1352
920000 299.15939 -2999.3419 2063.1225 3522.4672
925000 300.6011 -3015.5238 2069.1379 3533.7881
930000 296.07141 -2977.0955 2092.8835 3528.4511
935000 301.58023 -2940.0766 2102.7707 3657.461
940000 296.17314 -2968.265 2137.5608 3583.4751
945000 296.52701 -2997.4183 2057.3999 3479.4351
950000 296.41429 -2994.4499 2131.271 3554.5946
955000 290.80199 -2984.0133 2127.7102 3477.8244
960000 294.81293 -2948.6027 2098.191 3543.4951
965000 301.34216 -2983.5497 2131.512 3639.1809
970000 294.59094 -2959.238 2078.1883 3509.5485
975000 301.87588 -2957.3648 2165.4454 3707.2539
980000 301.09676 -2986.3557 2118.5241 3619.7296
985000 294.25668 -2985.4277 2090.1463 3490.3349
990000 302.67019 -2993.3392 2111.8684 3629.5409
995000 304.69943 -2975.0559 2030.3948 3596.5945
1000000 308.9462 -2957.4966 2146.2802 3793.3332
1005000 296.99842 -2959.5243 2119.1289 3586.084
1010000 293.49141 -2980.4493 2080.6626 3474.424
1015000 299.23177 -3006.29 2149.755 3603.2304
1020000 299.44537 -2968.4603 2105.2473 3599.7358
1025000 301.69747 -2923.0378 2141.7027 3715.1791
1030000 300.80629 -2902.9259 2189.9628 3770.269
1035000 296.0133 -2883.4765 2158.4048 3686.7254
1040000 297.83626 -2953.4253 2162.8396 3648.3808
1045000 300.17658 -2963.434 2099.0515 3609.4644
1050000 303.28341 -2946.6644 2101.5073 3674.9941
1055000 301.67455 -2989.8061 2178.3355 3684.7021
1060000 297.46519 -2955.8523 2185.6808 3663.2646
1065000 308.36829 -2969.1388 2139.4418 3766.2395
1070000 302.16873 -2959.142 2161.59 3705.9858
1075000 301.52025 -2947.0725 2144.1392 3690.9396
1080000 303.20502 -2941.6176 2066.4791 3643.8444
1085000 294.58984 -2950.952 2081.6119 3521.2416
1090000 296.02538 -2968.5751 2098.668 3542.0701
1095000 299.53547 -2955.7992 2145.7036 3654.1961
1100000 295.39718 -2985.6842 2134.4928 3551.423
1105000 301.63614 -2961.6892 2153.662 3687.573
1110000 300.96858 -2993.7144 2096.6619 3588.5984
1115000 300.59304 -2994.5739 2094.1313 3579.6111
1120000 297.76854 -2978.8287 2121.4136 3580.5423
1125000 303.97685 -3011.8952 2080.5872 3599.1783
1130000 300.92567 -2978.859 2045.5141 3551.6664
1135000 296.41112 -2953.0738 2092.8024 3557.4549
1140000 296.38304 -3024.5325 2135.3859 3528.1611
1145000 307.65732 -2982.6266 2118.9107 3721.6243
1150000 304.46728 -2958.9707 2103.3359 3682.1609
1155000 301.36378 -3013.8975 2122.618 3600.2615
1160000 297.41322 -3044.6935 2137.3208 3525.2888
1165000 305.00219 -3012.2186 2125.6442 3659.1936
1170000 302.52384 -3000.081 2138.6171 3647.3667
1175000 298.71828 -2997.5857 2100.3005 3554.8271
1180000 304.59476 -2982.8131 2120.2173 3677.0998
1185000 297.5813 -3014.2768 2142.0351 3562.925
1190000 293.89396 -3007.4454 2152.9782 3525.7431
1195000 305.16088 -3003.7539 2066.6475 3611.0267
1200000 301.68298 -3000.0404 2148.675 3644.9329
1205000 295.66146 -2995.401 2109.9767 3521.129
1210000 299.1763 -2982.4093 2134.5709 3611.1002
1215000 306.31149 -2977.8404 2089.4822 3676.9236
1220000 301.12742 -2964.8097 2150.8339 3674.0424
1225000 302.53465 -2996.0616 2081.0319 3593.9619
1230000 299.64883 -3007.1884 2119.3583 3578.1511
1235000 293.22572 -3021.1922 2115.5716 3464.6302
1240000 302.36629 -3034.6021 2112.7126 3584.5929
1245000 305.88763 -3023.8089 2103.4239 3638.5796
1250000 299.1051 -2996.4714 2116.454 3577.86
1255000 303.16943 -2985.3487 2113.417 3646.5207
1260000 293.49 -2978.759 2139.4873 3534.9179
1265000 301.09563 -2956.8961 2164.9074 3695.5557
1270000 304.0352 -2998.9377 2114.5257 3646.9439
1275000 299.972 -2991.1013 2150.2821 3629.9786
