ebind coord_avg sigma eq_time sim_len
2 18.931868574884096 3.903032618959191 210000 25
4 100.19834041691965 6.117599658796531 310000 25
6 204.17267206477732 5.61016256616313 315000 25
8 281.2528565382988 4.832711211997653 1385000 25
10 331.5643117887052 3.8048110206378083 1730000 25
12 367.899221147038 2.124543356467281 3830000 25
14 393.42428160320304 2.0662491026325362 80130000 200
16 414.4988619119879 1.916586934479705 68235000 200
18 414.77272727272725 0.5554196624034861 20060000 100
