timestep c_coords
10000 30
15000 48
20000 60
25000 75
30000 100
35000 110
40000 122
45000 139
50000 146
55000 156
60000 166
65000 189
70000 195
75000 202
80000 208
85000 214
90000 219
95000 224
100000 228
105000 229
110000 233
115000 238
120000 241
125000 242
130000 246
135000 250
140000 251
145000 258
150000 261
155000 267
160000 275
165000 281
170000 286
175000 293
180000 299
185000 310
190000 317
195000 322
200000 327
205000 332
210000 336
215000 343
220000 343
225000 346
230000 348
235000 351
240000 351
245000 350
250000 355
255000 356
260000 355
265000 357
270000 361
275000 357
280000 359
285000 364
290000 358
295000 359
300000 360
305000 362
310000 363
315000 362
320000 364
325000 363
330000 362
335000 361
340000 363
345000 364
350000 367
355000 365
360000 365
365000 363
370000 365
375000 369
380000 369
385000 371
390000 368
395000 367
400000 363
405000 362
410000 369
415000 369
420000 367
425000 369
430000 367
435000 371
440000 370
445000 370
450000 370
455000 367
460000 366
465000 366
470000 366
475000 366
480000 370
485000 369
490000 369
495000 365
500000 366
505000 368
510000 370
515000 370
520000 368
525000 370
530000 368
535000 366
540000 362
545000 371
550000 364
555000 366
560000 368
565000 367
570000 369
575000 364
580000 366
585000 365
590000 365
595000 364
600000 368
605000 369
610000 370
615000 365
620000 364
625000 369
630000 368
635000 366
640000 362
645000 365
650000 370
655000 368
660000 366
665000 369
670000 368
675000 368
680000 370
685000 370
690000 371
695000 366
700000 363
705000 363
710000 367
715000 364
720000 365
725000 361
730000 366
735000 368
740000 367
745000 373
750000 369
755000 373
760000 372
765000 373
770000 368
775000 370
780000 367
785000 369
790000 362
795000 366
800000 367
805000 369
810000 366
815000 368
820000 369
825000 369
830000 370
835000 370
840000 368
845000 362
850000 364
855000 364
860000 366
865000 372
870000 368
875000 368
880000 366
885000 364
890000 367
895000 367
900000 364
905000 364
910000 367
915000 368
920000 367
925000 365
930000 366
935000 367
940000 365
945000 364
950000 364
955000 368
960000 365
965000 366
970000 366
975000 369
980000 365
985000 363
990000 366
995000 367
1000000 367
1005000 372
1010000 368
1015000 367
1020000 365
1025000 368
1030000 367
1035000 369
1040000 365
1045000 368
1050000 367
1055000 366
1060000 364
1065000 361
1070000 367
1075000 365
1080000 366
1085000 365
1090000 364
1095000 365
1100000 367
1105000 360
1110000 363
1115000 364
1120000 364
1125000 368
1130000 371
1135000 369
1140000 366
1145000 372
1150000 370
1155000 371
1160000 368
1165000 365
1170000 368
1175000 368
1180000 366
1185000 369
1190000 367
1195000 371
1200000 373
1205000 371
1210000 375
1215000 373
1220000 368
1225000 369
1230000 369
1235000 367
1240000 368
1245000 367
1250000 368
1255000 368
1260000 369
1265000 368
1270000 369
1275000 364
1280000 365
1285000 365
1290000 362
1295000 367
1300000 368
1305000 367
1310000 364
1315000 367
1320000 362
1325000 369
1330000 364
1335000 365
1340000 369
1345000 366
1350000 371
1355000 371
1360000 365
1365000 366
1370000 367
1375000 367
1380000 374
1385000 374
1390000 369
1395000 367
1400000 367
1405000 364
1410000 368
1415000 372
1420000 370
1425000 366
1430000 367
1435000 369
1440000 367
1445000 367
1450000 369
1455000 369
1460000 369
1465000 367
1470000 360
1475000 364
1480000 367
1485000 363
1490000 363
1495000 363
1500000 373
1505000 368
1510000 368
1515000 366
1520000 368
1525000 367
